movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982 ",2019,20191023,장편,개봉,한국,드라마,한국,드라마,김도영,20192181,(주)봄바람영화사
20191589,말레피센트 2,Maleficent: Mistress of Evil,2019,20191017,장편,개봉,미국,"어드벤처,가족,판타지",미국,어드벤처,요아킴 뢰닝,,
20199950,조커,Joker,2019,20191002,장편,개봉,미국,"액션,드라마,스릴러",미국,액션,토드 필립스,,
20195920,가장 보통의 연애,Crazy Romance,2019,20191002,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,김한결,20100450,영화사 집
20196136,람보 : 라스트 워,Rambo: Last Blood,2019,20191023,장편,개봉,미국,액션,미국,액션,애드리언 그런버그,,
20184483,퍼펙트맨,Man of Men,2019,20191002,장편,개봉,한국,"코미디,드라마",한국,코미디,용수,20187561,(주)맨필름
20185361,두번할까요,"LOVE, AGAIN",2019,20191017,장편,개봉,한국,"코미디,멜로/로맨스",한국,코미디,박용집,20122736,(주)영화사울림
20190280,날씨의 아이,Weathering With You,2019,20191030,장편,개봉예정,일본,"애니메이션,판타지,멜로/로맨스",일본,애니메이션,신카이 마코토,,
20198961,더 킹: 헨리 5세,The King,2019,20191023,장편,개봉,네덜란드,드라마,네덜란드,드라마,데이비드 미쇼,,
20195005,경계선,Border,2018,20191024,장편,개봉,"스웨덴,덴마크","판타지,멜로/로맨스",스웨덴,판타지,알리 아바시,,
