word,emotion
100점,긍정
가련,긍정
가슴아파,긍정
가슴아퍼,긍정
가슴아프,긍정
가슴앓이,긍정
가엽,긍정
가엾,긍정
각박,긍정
간절,긍정
감개무량,긍정
감격,긍정
감동,긍정
감명,긍정
감미롭,긍정
감복,긍정
감사,긍정
감회,긍정
감흥,긍정
걱정,긍정
걸작,긍정
경이롭,긍정
경쾌,긍정
고달프,긍정
고독,긍정
고마,긍정
고맙,긍정
구슬프,긍정
궁금,긍정
그리,긍정
그립,긍정
근사,긍정
근사,긍정
글썽글썽,긍정
기구,긍정
기묘,긍정
기분좋,긍정
기뻐,긍정
기쁘,긍정
기쁨,긍정
기상천외,긍정
긴박,긍정
긴장,긍정
까무러치,긍정
깜짝,긍정
꿀잼,긍정
낭만적,긍정
놀랍,긍정
눈물,긍정
눈물,긍정
눈물겹,긍정
달갑,긍정
대작,긍정
두근,긍정
두려,긍정
두렵,긍정
따뜻,긍정
따스,긍정
뜨금,긍정
만족,긍정
망막,긍정
망연,긍정
망연자실,긍정
먹먹,긍정
명작,긍정
무서,긍정
무섭,긍정
무시무시,긍정
뭉클,긍정
뭉클,긍정
미소,긍정
미안,긍정
반갑,긍정
방그레,긍정
방글방글,긍정
방긋,긍정
보기좋,긍정
복받치,긍정
부끄럽,긍정
부러워,긍정
불쌍,긍정
빙그레,긍정
뼈저리,긍정
뿌듯,긍정
뿌듯,긍정
사랑,긍정
사무치,긍정
살벌,긍정
상실감,긍정
상쾌,긍정
상큼,긍정
서럽,긍정
설레,긍정
섬뜩,긍정
섹시,긍정
소름끼,긍정
속상,긍정
속시원,긍정
속앓이,긍정
송구,긍정
숙연,긍정
스산,긍정
슬퍼,긍정
신명,긍정
신바람,긍정
신비롭,긍정
심란,긍정
심려,긍정
싱글벙글,긍정
쌩끗,긍정
씰룩,긍정
아깝,긍정
아련,긍정
아름,긍정
아쉽,긍정
아야,긍정
아이고,긍정
아찔,긍정
아파,긍정
아프,긍정
아하하,긍정
안쓰러,긍정
안쓰럽,긍정
안타까,긍정
안타깝,긍정
안타깝,긍정
애끓,긍정
애달프,긍정
애도,긍정
애석,긍정
애잔,긍정
애처로,긍정
애처롭,긍정
애통,긍정
애틋,긍정
애틋,긍정
역대,긍정
예뻐,긍정
예쁘,긍정
오싹,긍정
와들와들,긍정
외롭,긍정
외톨이,긍정
우아,긍정
우울,긍정
울먹,긍정
울며불며,긍정
울부짖,긍정
울분,긍정
울상,긍정
울었,긍정
울적,긍정
울컥,긍정
움찔,긍정
웃기,긍정
웃느라,긍정
웃어넘기,긍정
원통,긍정
유쾌,긍정
으스스,긍정
으쓱,긍정
으악,긍정
으앙,긍정
을씨년,긍정
이쁘,긍정
인생작,긍정
자부,긍정
재미있,긍정
재밋,긍정
재밌,긍정
잼나,긍정
잼난,긍정
적적,긍정
절박,긍정
절실,긍정
절실,긍정
절절,긍정
절절매,긍정
조마조마,긍정
존잼,긍정
좋네,긍정
좋아,긍정
즐겁,긍정
짠하,긍정
짠하,긍정
찡하,긍정
찡하,긍정
처량,긍정
처절,긍정
청승맞,긍정
최고,긍정
측은,긍정
친근,긍정
친숙,긍정
침통,긍정
콩닥,긍정
쾌적,긍정
탄복,긍정
탄식,긍정
통쾌,긍정
통탄,긍정
편안,긍정
하하,긍정
한탄,긍정
함박웃음,긍정
함박웃음,긍정
핵잼,긍정
행복,긍정
행복,긍정
후련,긍정
후후,긍정
훌륭,긍정
흐뭇,긍정
흑흑,긍정
흡족,긍정
흥겹,긍정
흥미롭,긍정
희희낙락,긍정
히죽,긍정
히히,긍정
가관,부정
가소롭,부정
갑갑,부정
개자식,부정
거북,부정
격노,부정
격분,부정
격앙,부정
격양,부정
격해,부정
경박,부정
경악,부정
고리타분,부정
고통,부정
공허,부정
관절,부정
괘씸,부정
괴롭,부정
괴상,부정
괴작,부정
괴팍,부정
구역질,부정
구질구질,부정
굴욕감,부정
귀찮,부정
근심,부정
기분나쁘,부정
기운없,부정
꺼림칙,부정
꼴불견,부정
낙담,부정
낙망,부정
낙심,부정
난처,부정
낭패,부정
넌더리,부정
노잼,부정
느글,부정
느끼,부정
니미,부정
달갑잖,부정
답답,부정
당할,부정
당했,부정
더럽,부정
따분,부정
똥,부정
망작,부정
망작,부정
망측,부정
멸시당,부정
모멸감,부정
모욕적,부정
못,부정
못미덥,부정
무료,부정
무시당,부정
버럭,부정
별로,부정
분개,부정
분노,부정
분통터지,부정
분하,부정
불만,부정
불만족,부정
불유쾌,부정
불행,부정
비딱,부정
빌어먹을,부정
삐딱,부정
삐지다,부정
삐치,부정
서먹,부정
서운,부정
섭섭,부정
수면,부정
신경질적,부정
신통찮,부정
실망,부정
싫증,부정
심각,부정
심드렁,부정
심심,부정
쓰레기,부정
쓴웃음,부정
씁쓸,부정
아이씨,부정
암 걸,부정
암걸,부정
암담,부정
암세포,부정
암세포,부정
암울,부정
야박,부정
약오르,부정
얄밉,부정
어색,부정
어이없,부정
언짢,부정
역겹,부정
염병,부정
옘병,부정
우라질,부정
울화통,부정
웃음거리,부정
유감,부정
음울,부정
자괴감,부정
재미없,부정
절망,부정
제기랄,부정
증오,부정
지겹,부정
지긋지긋,부정
지끈,부정
지루하,부정
지루한,부정
지루함,부정
진노,부정
징그럽,부정
짜증,부정
짱나,부정
찜찜,부정
착잡,부정
참담,부정
처참,부정
최악,부정
충격적,부정
치떨리,부정
치밀어오르,부정
치사,부정
치욕적,부정
침울,부정
코웃음치,부정
클레,부정
한숨,부정
한숨,부정
해괴,부정
허무,부정
허전,부정
허탈,부정
후회,부정
흉측,부정
