movieCd,movieNm,impression,fear,anger,sadness,fun,boredom
19980074,타이타닉,53,1,10,21,10,3
20030371,태극기 휘날리며,42,2,10,30,9,4
20040734,노트북,66,0,4,14,11,3
20060151,괴물,12,10,9,19,39,8
20070061,트랜스포머,9,4,11,17,45,11
20090074,해운대,28,2,7,19,31,10
20090834,아바타,14,2,10,17,40,13
20112821,프렌즈 위드 베네핏,10,0,6,5,69,7
20124079,"광해, 왕이 된 남자",28,2,6,17,39,6
20127593,7번방의 선물,41,0,5,29,19,3
20129370,명량,23,4,9,18,33,10
20134803,변호인,22,2,16,41,12,5
20135428,어바웃 타임,51,0,7,16,20,4
20136803,겨울왕국,22,1,5,11,55,4
20149120,인터스텔라,19,3,13,17,33,12
20156564,부산행,11,14,7,13,44,9
20167904,라라랜드,36,0,7,17,29,9
20183782,기생충,3,11,21,22,31,8
20183867,알라딘,21,0,4,9,58,4
20184889,어벤져스: 엔드게임,27,0,6,19,38,7
