word,emotion
겁쟁이,공포
공포감,공포
공포,공포
긴박,공포
긴장,공포
깜짝,공포
두려,공포
두렵,공포
무서,공포
무섭,공포
무시무시,공포
불안정,공포
불안,공포
살벌,공포
새파래,공포
섬뜩,공포
소름끼,공포
스산,공포
아찔,공포
안절부절,공포
오싹,공포
와들와들,공포
움찔,공포
으스스,공포
으악,공포
을씨년,공포
잔인,공포
잔혹,공포
조마조마,공포
초조,공포
갈기갈기,분노
개새끼,분노
개쌍년,분노
개자식,분노
격노,분노
격분,분노
격앙,분노
격양,분노
격해,분노
괘씸,분노
굴욕감,분노
그년,분노
그놈,분노
그자식,분노
기분나쁘,분노
기집년,분노
나쁘,분노
네년,분노
네놈,분노
노여워,분노
니미,분노
멸시당,분노
모멸감,분노
모욕적,분노
못,분노
무시당,분노
미친개,분노
밉,분노
발칙,분노
버럭,분노
복수심,분노
분개,분노
분노,분노
분통터지,분노
분하,분노
불만,분노
불만족,분노
불유쾌,분노
삐딱,분노
비딱,분노
비아냥,분노
빌어먹을,분노
삐지다,분노
삐치,분노
속썩,분노
신경질적,분노
심술궂,분노
심통,분노
싸가지,분노
쌍년,분노
쌍놈,분노
씨부랄,분노
씨부렁,분노
씩씩,분노
씹새끼,분노
아으,분노
아이씨,분노
야박,분노
약오르,분노
얄밉,분노
어이없,분노
언짢,분노
염병,분노
옘병,분노
우라질,분노
울화통,분노
웃음거리,분노
원망,분노
웬수,분노
으이구,분노
의심,분노
이새끼,분노
잡놈,분노
저년,분노
저놈,분노
제기랄,분노
증오,분노
지랄,분노
진노,분노
질투,분노
짱나,분노
짜증,분노
치떨리,분노
치밀어오르,분노
치사,분노
치욕적,분노
흥분,분노
가련,슬픔
가슴아파,슬픔
가슴아퍼,슬픔
가슴아프,슬픔
가슴앓이,슬픔
가엽,슬픔
가엾,슬픔
각박,슬픔
간절,슬픔
걱정,슬픔
고달프,슬픔
고독,슬픔
고통,슬픔
곤욕,슬픔
골치아프,슬픔
공허,슬픔
괴롭,슬픔
구슬프,슬픔
그리워,슬픔
근심,슬픔
글썽글썽,슬픔
기구,슬픔
기운없,슬픔
기진맥진,슬픔
낙담,슬픔
낙망,슬픔
낙심,슬픔
난처,슬픔
남부럽,슬픔
낭패,슬픔
눈물겹,슬픔
뜨금,슬픔
망막,슬픔
망연,슬픔
망연자실,슬픔
먹먹,슬픔
뭉클,슬픔
미안,슬픔
복받치,슬픔
부끄럽,슬픔
불쌍,슬픔
불행,슬픔
비참,슬픔
비탄,슬픔
비통,슬픔
뼈저리,슬픔
사무치,슬픔
상실감,슬픔
서럽,슬픔
서운,슬픔
섭섭,슬픔
속상,슬픔
속앓이,슬픔
송구,슬픔
숙연,슬픔
슬퍼,슬픔
실망,슬픔
심각,슬픔
심란,슬픔
심려,슬픔
쓴웃음,슬픔
씁쓸,슬픔
안타깝,슬픔
아깝,슬픔
아련,슬픔
아쉽,슬픔
아야,슬픔
아이고,슬픔
아프,슬픔
아휴,슬픔
안쓰러,슬픔
안쓰럽,슬픔
안타까,슬픔
안타깝,슬픔
암담,슬픔
암울,슬픔
애끓,슬픔
애달프,슬픔
애도,슬픔
애석,슬픔
애잔,슬픔
애처로,슬픔
애처롭,슬픔
애통,슬픔
애틋,슬픔
야속,슬픔
외롭,슬픔
외톨이,슬픔
우울,슬픔
울었,슬픔
울먹,슬픔
울며불며,슬픔
울부짖,슬픔
울분,슬픔
울상,슬픔
울적,슬픔
울컥,슬픔
원통,슬픔
유감,슬픔
으앙,슬픔
음울,슬픔
자책,슬픔
자포자기,슬픔
적적,슬픔
절규,슬픔
절망,슬픔
절박,슬픔
절실,슬픔
절절매,슬픔
절절,슬픔
좌절,슬픔
죄송,슬픔
죄책감,슬픔
주눅들,슬픔
지끈,슬픔
짠하,슬픔
찡하,슬픔
착잡,슬픔
참담,슬픔
참회,슬픔
챙피,슬픔
창피,슬픔
처량,슬픔
처절,슬픔
처참,슬픔
청승맞,슬픔
초라,슬픔
측은,슬픔
침울,슬픔
침통,슬픔
탄복,슬픔
탄식,슬픔
통탄,슬픔
한숨짓,슬픔
한탄,슬픔
허무,슬픔
허전,슬픔
허탈,슬픔
후회,슬픔
흑흑,슬픔
최고,재미
걸작,재미
명작,재미
대작,재미
아름,재미
역대,재미
인생작,재미
갈구,재미
갈망,재미
감개무량,재미
감격,재미
감동,재미
감미롭,재미
감복,재미
감사,재미
감질,재미
감회,재미
감흥,재미
경이롭,재미
경쾌,재미
고마,재미
고맙,재미
궁금,재미
근사,재미
기묘,재미
기분좋,재미
기뻐,재미
기쁨,재미
기쁘,재미
기상천외,재미
까르르,재미
까무러치,재미
깔깔깔깔,재미
껄껄껄,재미
끼득끼득,재미
낄낄낄,재미
낭만적,재미
놀랍,재미
달갑,재미
대견,재미
두근,재미
따뜻,재미
따스,재미
만족,재미
반갑,재미
반신반의,재미
방그레,재미
방글방글,재미
방긋,재미
보기좋,재미
부러워,재미
빙그레,재미
뿌듯,재미
사랑,재미
상쾌,재미
상큼,재미
설레,재미
섹시,재미
속시원,재미
신명,재미
신바람,재미
신비롭,재미
싱글벙글,재미
쌩끗,재미
씰룩,재미
아리송,재미
아하하,재미
알쏭달쏭,재미
어여쁘,재미
얼씨구,재미
예뻐,재미
이쁘,재미
예쁘,재미
우아,재미
웃기,재미
웃어넘기,재미
원더풀,재미
유쾌,재미
으쓱,재미
으하하하,재미
이힛힛힛,재미
자부,재미
재밋,재미
재밌,재미
재미있,재미
좋네,재미
좋아,재미
즐겁,재미
천만행,재미
충동적,재미
친근,재미
친숙,재미
카핫핫핫,재미
콩닥,재미
쾌적,재미
킬킬,재미
통쾌,재미
편안,재미
하하,재미
함박웃음,재미
행복,재미
허허,재미
후련,재미
후후,재미
훌륭,재미
흐뭇,재미
흐흐,재미
흡족,재미
흥겹,재미
흥미롭,재미
희희낙락,재미
히죽,재미
히히,재미
핵잼,재미
꿀잼,재미
존잼,재미
잼나,재미
갑갑,지루함
고리타분,지루함
귀찮,지루함
답답,지루함
따분,지루함
무료,지루함
서먹,지루함
신통찮,지루함
싫증,지루함
심드렁,지루함
심심,지루함
어색,지루함
재미없,지루함
지겹,지루함
지긋지긋,지루함
지루함,지루함
별로,지루함
노잼,지루함
가관,혐오
가소롭,혐오
갑작,혐오
거북,혐오
경박,혐오
경악,혐오
괴상,혐오
괴팍,혐오
구역질,혐오
구질구질,혐오
꺼림칙,혐오
꼴불견,혐오
넌더리,혐오
느글,혐오
느끼,혐오
달갑잖,혐오
당황,혐오
더럽,혐오
망측,혐오
못미덥,혐오
부담,혐오
역겹,혐오
지독,혐오
징그럽,혐오
찜찜,혐오
충격적,혐오
코웃음치,혐오
해괴,혐오
흉측,혐오
