단어,감정범주,빈도,감정정도M,감정정도STD,,,,,,
겁나다,공포,86.3,6.94,2.47,,겁,공포,,,
겁쟁이,공포,45,6.66,2.78,,겁쟁이,공포,,,
공포감,공포,96.3,8.98,1.92,,공포감,공포,공포,,
긴박하다,공포,40,4.74,2.53,,긴박,공포,,,
긴장되다,공포,41.3,4.72,2.54,,긴장,공포,,,
깜짝,공포,93.8,7.58,2.56,,깜짝,공포,,,
두렵다,공포,85,7.68,2.33,,두렵,공포,두려,,
무섭다,공포,90,8.12,2.49,,무섭,공포,무서,,
무시무시하다,공포,85,7.43,2.21,,무시무시,공포,,,
불안정하다,공포,38.8,5.4,2.68,,불안정,공포,,,
불안하다,공포,63.7,6.13,2.39,,불안,공포,,,
살벌하다,공포,88.8,6.92,2.3,,살벌,공포,,,
새파래지다,공포,63.7,7.55,2.13,,새파래,공포,,,
섬뜩하다,공포,91.3,8.05,1.96,,섬뜩,공포,,,
소름끼치다,공포,77.5,7.05,2.3,,소름끼,공포,,,
스산하다,공포,85,6.36,2.35,,스산,공포,,,
아찔하다,공포,67.5,6.32,2.54,,아찔,공포,,,
안절부절하다,공포,38.8,4.28,2.37,,안절부절,공포,,,
오싹하다,공포,95,7.45,2.17,,오싹,공포,,,
와들와들,공포,58.8,6.49,2.48,,와들와들,공포,,,
움찔하다,공포,81.3,6.22,2.43,,움찔,공포,,,
으스스하다,공포,96.3,6.39,2.59,,으스스,공포,,,
으악,공포,65,7.3,2.55,,으악,공포,,,
을씨년스럽다,공포,47.5,6.28,2.5,,을씨년,공포,,,
잔인하다,공포,75,7.58,2.4,,잔인,공포,,,
잔혹하다,공포,66.3,6.87,2.75,,잔혹,공포,,,
조마조마하다,공포,47.5,4.63,2.75,,조마조마,공포,,,
초조하다,공포,48.8,4.45,2.37,,초조,공포,,,
갈기갈기,분노,78.8,7.48,2.37,,갈기갈기,분노,,,
개새끼,분노,81.3,8.22,2.37,,개새끼,분노,,,
개쌍년,분노,85,9.04,1.34,,개쌍년,분노,,,
개자식,분노,81.3,7.87,2.21,,개자식,분노,,,
격노하다,분노,95,8.7,1.61,,격노,분노,,,
격분하다,분노,88.8,8.06,1.87,,격분,분노,,,
격앙되다,분노,70,6.82,2.15,,격앙,분노,,,
격양되다,분노,55,6.71,2.35,,격양,분노,,,
격해지다,분노,83.8,7.07,2.41,,격해,분노,,,
괘씸하다,분노,93.8,6.8,2.29,,괘씸,분노,,,
