movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20184678,배반의 장미,Too Hot to Die,2018,20181018,장편,개봉,한국,코미디,한국,코미디,"('박진영', ' ', ' ', ' ')","('20100947', ' ', ' ')","('(주)태원엔터테인먼트', ' ', ' ')"
20174442,뷰티풀 데이즈,Beautiful Days,2018,20181121,장편,개봉,"한국,프랑스",드라마,한국,드라마,"('윤재호', ' ', ' ', ' ')","('20101149', ' ', ' ')","('(주)페퍼민트앤컴퍼니', ' ', ' ')"
20168766,종이 비행기,Paper Planes,2016,20180131,장편,개봉,한국,드라마,한국,드라마,"('노홍식', '필동', ' ', ' ')","('20112272', ' ', ' ')","('(주)파란프로덕션', ' ', ' ')"
20182466,퀴어영화 뷰티풀,QUEER MOVIE Beautiful,2018,20181006,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,"('백인규', ' ', ' ', ' ')","('20140513', ' ', ' ')","('99film', ' ', ' ')"
20177981,밤치기,Hit the Night,2017,20181101,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('정가영', ' ', ' ', ' ')","('20175761', ' ', ' ')","('(주)레진엔터테인먼트', ' ', ' ')"
20177538,완벽한 타인,Intimate Strangers,2018,20181031,장편,개봉,한국,"드라마,코미디",한국,드라마,"('이재규', ' ', ' ', ' ')","('20155211', '20062690', ' ')","('(주)필름몬스터', '드라마하우스(주)', ' ')"
20154762,천당의 밤과 안개,Night and Fog in Zona,2017,20181129,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"('정성일', ' ', ' ', ' ')","('20157950', ' ', ' ')","('영화사 키노(주)', ' ', ' ')"
20187142,카메라를 멈추면 안 돼!,One Cut of the Dead,2017,20180823,장편,개봉,일본,"공포(호러),코미디",일본,공포(호러),"('우에다 신이치로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20171681,박화영,Park Hwa-young,2018,20180719,장편,개봉,한국,드라마,한국,드라마,"('이환', ' ', ' ', ' ')","('20168488', ' ', ' ')","('명필름랩', ' ', ' ')"
20184101,여중생A,Student A,2018,20180620,장편,개봉,한국,드라마,한국,드라마,"('이경섭', ' ', ' ', ' ')","('20122736', '20188201', ' ')","('(주)영화사울림', '네이버웹툰 주식회사', ' ')"
20179383,독전,Believer,2017,20180522,장편,개봉,한국,"범죄,액션",한국,범죄,"('이해영', ' ', ' ', ' ')","('20137896', ' ', ' ')","('(주)용필름', ' ', ' ')"
20175930,피의 연대기,For Vagina’s Sake,2017,20180118,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"('김보람', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189281,폴란드로 간 아이들,The Children Gone to Poland,2018,20181031,장편,개봉,한국,"다큐멘터리,드라마",한국,다큐멘터리,"('추상미', ' ', ' ', ' ')","('20189383', ' ', ' ')","('보아스필름 ', ' ', ' ')"
20172388,집의 시간들,A Long Farewell,2018,20181025,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"('라야', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20184642,어른이 되면,Grown Up,2018,20181213,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"('장혜영', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
