movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20159624,미스 줄리,130,노르웨이,드라마,"['제시카 차스테인', '콜린 파렐']","['Jessica Chastain', 'Colin Farrell']","['', '']","['', '']","['20123058', '20123058']","['그린나래미디어(주)', '그린나래미디어(주)']","['GREEN NARAE MEDIA', 'GREEN NARAE MEDIA']","['배급사', '수입사']",['15세이상관람가']
20158241,픽셀,105,미국,"액션,어드벤처","['아담 샌들러', '케빈 제임스', '미셸 모나한', '피터 딘클리지', '애슐리 벤슨']","['Adam Sandler', 'Kevin James', 'Michelle Monaghan', 'Peter Dinklage', 'Ashley Benson']","['', '', '', '', '']","['', '', '', '', '']","['20100603', '20100603']","['유니버설픽쳐스인터내셔널 코리아(유)', '유니버설픽쳐스인터내셔널 코리아(유)']","['Universal Pictures International Korea', 'Universal Pictures International Korea']","['배급사', '수입사']","['12세이상관람가', '12세이상관람가']"
20134688,팝 리뎀션,94,프랑스,드라마,"['줄리앙 도레', '조나단 코헨']","['Julien Dore', 'Jonathan Cohen']","['', '']","['', '']","['20110752', '20110752']","['(주)미디어데이', '(주)미디어데이']","['Mediaday', 'Mediaday']","['배급사', '수입사']",['15세이상관람가']
20152125,와일드 인 블루,85,미국,"멜로/로맨스,스릴러","['프랭크 체르막 주니어', '샬롯 엘렌 프라이스']","['Frank Cermak Jr.', 'Charlotte Ellen Price']","['', '']","['', '']","['20100355', '20100355']","['주식회사 루믹스미디어', '주식회사 루믹스미디어']","['Lumixmedia Inc.', 'Lumixmedia Inc.']","['배급사', '수입사']",['청소년관람불가']
20151761,빅 게임,90,핀란드,"액션,어드벤처","['사무엘 L. 잭슨', '레이 스티븐슨']","['Samuel L. Jackson', 'Ray Stevenson']","['', '']","['', '']","['20062868', '20062868']","['(주)도키엔터테인먼트', '(주)도키엔터테인먼트']","['', '']","['배급사', '수입사']",['15세이상관람가']
20136293,아들의 자리,112,루마니아,드라마,"['루미나타 게오르기우', '보그단 드미트라체']","['Luminita Gheorghiu', 'Bogdan DUMITRACHE ']","['', '']","['', '']","['20110752', '20110752']","['(주)미디어데이', '(주)미디어데이']","['Mediaday', 'Mediaday']","['배급사', '수입사']",['15세이상관람가']
20152683,비서실 여직원들과의 교환섹스,73,일본,"멜로/로맨스,스릴러","['요시카와 아이미', '시마무라 마이카']","['', '']","['', '']","['', '']","['20114899', '20114899']","['(주)영진크리에이티브', '(주)영진크리에이티브']","['', '']","['배급사', '수입사']",['청소년관람불가']
20152783,착한여자 (무삭제),108,한국,멜로/로맨스,"['김정연', '주연서']","['', '']","['', '']","['', '']","['20141397', '20112175']","['영화사 인연', '(주)소나무픽쳐스']","['karma pictures', 'Sonamu Pictures']","['제작사', '배급사']",['청소년관람불가']
19930086,무장원 소걸아,100,홍콩,"액션,코미디","['주성치', '장민', '오맹달']","['Stephen Chow', 'Sharla Cheung', 'Man Tat Ng']","['', '', '']","['', '', '']","['20103893', '20111893', '20103093']","['골든하베스트', '영성전영공사', '(주)동아수출공사']","['Golden Harvest', '', 'Dong-a Export Co., LTD']","['제작사', '제작사', '수입사']",['중학생이상관람가']
20152483,댓 어쿼드 모먼트-그 어색한 순간,94,미국,"코미디,멜로/로맨스","['잭 에프런', '이모겐 푸츠', '마일즈 텔러', '마이클 B. 조던']","['Zac Efron', 'Imogen Poots', 'Miles Teller', 'Michael B. Jordan  ']","['제이슨', '엘리', '다니엘', '마이키']","['', '', '', '']","['20123227', '20140708']","['(주)나우콘텐츠', '(주)매니아22 ']","['Now Contents', '']","['배급사', '수입사']",['청소년관람불가']
20151225,인사이드 아웃,101,미국,"애니메이션,코미디","['다이안 레인', '에이미 포엘러', '카일 맥라클란', '민디 캘링', '빌 헤이더']","['Diane Lane', 'Amy Poehler', 'Kyle MacLachlan', 'Mindy Kaling', 'Bill Hader']","['', '', '', '', '']","['', '', '', '', '']","['20060452', '20060452']","['월트디즈니컴퍼니코리아(주)', '월트디즈니컴퍼니코리아(주)']","['The Walt Disney Company Korea', 'The Walt Disney Company Korea']","['배급사', '수입사']","['전체관람가', '전체관람가']"
