movieCd,movieNm,movieNmEn,prdtYear,openDt,prdtStatNm,repGenre,genre,repNation,nations,typeNm,showTm,directors,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm,poster
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982 ",2019,20191023,개봉,드라마,드라마,한국,한국,장편,118,김도영,"['정유미', '공유', '김미경', '공민정', '박성연', '이봉련', '김성철', '이얼', '전국향', '박세현', '김미경', '손성찬', '강애심', '김정영']","['JUNG Yu-mi', 'GONG Yoo', 'KIM Mi-kyeong', 'GONG Min-jeung', 'PARK Sung-yeon', 'LEE Bong-ryeon', 'KIM Sung-cheol', 'LEE Eol', 'JEON Guk-hyang', 'PARK Se-hyun', 'KIM Mi-kyung', 'SON Seong-chan', 'KANG Ae-sim', 'KIM Jung-young']","['김지영', '정대현', '미숙', '은영', '김팀장', '혜수', '지석', '영수', '큰고모', '고등학생 지영', '대현 모', '대현 부', '지영 친할머니', '의사']","['KIM Ji-young', 'JUNG Dae-hyeon', 'OH Mi-sook', '', '', '', '', '', '', '', '', '', '', '']","['20192181', '20188021', '20188021', '20188021']","['(주)봄바람영화사', '롯데컬처웍스(주)롯데엔터테인먼트', '롯데컬처웍스(주)롯데엔터테인먼트', '롯데컬처웍스(주)롯데엔터테인먼트']","['', 'Lotte Cultureworks Lotte Entertainment Co.,Ltd', 'Lotte Cultureworks Lotte Entertainment Co.,Ltd', 'Lotte Cultureworks Lotte Entertainment Co.,Ltd']","['제작사', '배급사', '제공', '해외세일즈사']",['12세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1794/179482_P26_155441.jpg
20191589,말레피센트 2,Maleficent: Mistress of Evil,2019,20191017,개봉,어드벤처,"어드벤처,가족,판타지",미국,미국,장편,118,요아킴 뢰닝,"['안젤리나 졸리', '엘르 패닝', '미셀 파이퍼']","['Angelina Jolie', 'Elle Fanning', 'Michelle Pfeiffer']","['', '', '']","['', '', '']","['20161801', '20161801']","['월트디즈니컴퍼니코리아 유한책임회사', '월트디즈니컴퍼니코리아 유한책임회사']","['The Walt Disney Company Korea', 'The Walt Disney Company Korea']","['배급사', '수입사']",['12세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167635_P27_100146.jpg
20199950,조커,Joker,2019,20191002,개봉,액션,"액션,드라마,스릴러",미국,미국,장편,122,토드 필립스,"['호아킨 피닉스', '재지 비츠', '로버트 드 니로', '프란시스 콘로이', '브렛 컬렌']","['Joaquin Phoenix', 'Zazie Beetz', 'Robert DeNiro', 'Frances Conroy', 'Brett Cullen']","['', '', '', '', '']","['', '', '', '', '']","['20100043', '20100043']","['워너브러더스 코리아(주)', '워너브러더스 코리아(주)']","['Warner Bros. Korea', 'Warner Bros. Korea']","['배급사', '수입사']",['15세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167613_P09_182225.jpg
20195920,가장 보통의 연애,Crazy Romance,2019,20191002,개봉,멜로/로맨스,"멜로/로맨스,코미디",한국,한국,장편,109,김한결,"['김래원', '공효진', '강기영', '정웅인', '장소연', '주민경', '오동민', '이채은', '손영순', '손성찬']","['KIM Rae-won', 'KONG Hyo-jin', 'KANG Ki-young', 'JUNG Woong-in', 'JANG So-yeon', 'JOO Min-kyung', 'OH Dong-min', 'LEE Chae-eun', 'SON Young-soon', 'SON Seong-chan']","['재훈', '선영', '병철', '관수', '미영', '', '현성 ', '경은', '옥수수 할머니', '선영 오피스텔 경비원']","['', '', '', '', '', '', '', '', '', '']","['20100450', '20100932', '20100932', '20142968']","['영화사 집', '(주)넥스트엔터테인먼트월드(NEW)', '(주)넥스트엔터테인먼트월드(NEW)', '(주)콘텐츠판다']","['ZIP CINEMA', 'Next Entertainment World', 'Next Entertainment World', 'CONTENTS PANDA']","['제작사', '배급사', '제공', '해외세일즈사']",['15세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182205_P35_110342.jpg
20196136,람보 : 라스트 워,Rambo: Last Blood,2019,20191023,개봉,액션,액션,미국,미국,장편,100,애드리언 그런버그,"['실베스터 스탤론', '파즈 베가', '세르지오 페리스-멘체타']","['Sylvester Stallone', 'Paz Vega', 'Sergio Peris-Mencheta']","['', '', '']","['', '', '']","['20139196', '20161101', '20142369']","['TCO(주)더콘텐츠온', '(주)제이앤씨미디어그룹', '(유)조이앤시네마']","['THE CONTENTS ON', '', 'JOY N CINEMA']","['배급사', '배급사', '수입사']",['청소년관람불가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1292/129282_P25_145511.jpg
20184483,퍼펙트맨,Man of Men,2019,20191002,개봉,코미디,"코미디,드라마",한국,한국,장편,116,용수,"['설경구', '조진웅', '허준호', '진선규', '지승현', '김사랑', '최지안']","['SUL Kyung-gu', 'CHO Jin-woong', 'HUH Joon-ho', 'JIN Seon-kyu', 'JI Seung-hyeon', 'KIM Sa-rang', 'CHOI Ji-ahn']","['장수', '영기', '', '', '', '', '']","['', '', '', '', '', '', '']","['20187561', '20100103', '20100103', '20100103', '20100103']","['(주)맨필름', '(주)쇼박스', '(주)쇼박스', '(주)쇼박스', '(주)쇼박스']","['', 'Showbox Corp', 'Showbox Corp', 'Showbox Corp', 'Showbox Corp']","['제작사', '제작사', '배급사', '제공', '해외세일즈사']",['15세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180390_P34_154356.jpg
20185361,두번할까요,"LOVE, AGAIN",2019,20191017,개봉,코미디,"코미디,멜로/로맨스",한국,한국,장편,112,박용집,"['권상우', '이정현', '이종혁', '성동일', '정상훈', '김현숙', '박경혜', '구성환']","['KWON Sang-woo', 'LEE Jung-hyun', 'LEE Jong-hyuk', 'SUNG Dong-il', 'JEONG Sang-hun', 'KIM Hyeon-suk', 'PARK Gyeong-hye', 'GU Seong-hwan']","['현우', '선영', '상철', '', '', '', '김 간호사 ', '차 대리 ']","['', '', '', '', '', '', '', '']","['20122736', '20139617', '20111211', '20139617', '20142968']","['(주)영화사울림', '(주)리틀빅픽쳐스', '케이티하이텔(주)', '(주)리틀빅픽쳐스', '(주)콘텐츠판다']","['Woollim', 'Little Big Pictures', 'kth', 'Little Big Pictures', 'CONTENTS PANDA']","['제작사', '배급사', '제공', '제공', '해외세일즈사']",['15세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1754/175404_P12_140807.jpg
20190280,날씨의 아이,Weathering With You,2019,20191030,개봉예정,애니메이션,"애니메이션,판타지,멜로/로맨스",일본,일본,장편,112,신카이 마코토,"['다이고 코타로', '모리 나나', '오구리 ㅤㅅㅠㄴ']","['Kotaro Daigo', 'Nana Mori', 'Shun Oguri']","['', '', '']","['', '', '']","['20122956', '20191941', '20122956']","['(주)미디어캐슬', '워터홀컴퍼니(주)', '(주)미디어캐슬']","['', 'WATERHOLE COMPANY', '']","['배급사', '배급사', '수입사']",['15세이상관람가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1811/181114_P00_152033.jpg
20198961,더 킹: 헨리 5세,The King,2019,20191023,개봉,드라마,드라마,네덜란드,네덜란드,장편,140,데이비드 미쇼,"['티모시 샬라메', '조엘 에저튼', '숀 해리스']","['Timothee Chalamet', 'Joel Edgerton', 'Sean Harris']","['', '', '']","['', '', '']",['20100285'],['판씨네마(주)'],['Pancinema Corp.'],['배급사'],['청소년관람불가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1875/187526_P14_105850.jpg
20195005,경계선,Border,2018,20191024,개봉,판타지,"판타지,멜로/로맨스",스웨덴,"스웨덴,덴마크",장편,110,알리 아바시,"['에바 멜란데르', '에로 밀로노프']","['Eva Melander', 'Eero Milonoff']","['', '']","['', '']","['20161101', '20142369']","['(주)제이앤씨미디어그룹', '(유)조이앤시네마']","['', 'JOY N CINEMA']","['배급사', '수입사']",['청소년관람불가'],https://ssl.pstatic.net/imgmovie/mdi/mit110/1750/175045_P12_135630.jpg
