user_id,review,score
꾸댕이땡땡(hydu****),그때 영화 노트북을 같이본 애인이 지금은 남편이 되어서 같은집에 같은공간에서 같은곳을 바라보며 다시보는 이느낌...말로 표현할수 없이 가슴이 뜨거워지네요,10
유싸퐈(agsu****),노아 같은 놈도 없다,10
못생긴브릿찌(ange****),어릴적 봤던 기억으로 다시 보았지만 역시 명작중에 대명작 작품,10
nola****,입장차가 분명한 영화.  약혼남의 입장이였던 사람이라면 너무나 화가나는 영화겠지.,5
pete****,'사랑을 한다면 이렇게' 라고 말해주는 한편의 메세지 같다..  ㅠㅠ,10
뚜벅이슛(wdh7****),아름다운 영화 다시봐도 정말 재밌네요,10
rami****,이런 연인을 만난다는건 축복중에 축복이다....,10
gree****,머릿속에 자꾸생각나는영화   최고다..,10
니누(shin****),감동적으로 보긴했지만 약혼남과 관계를 좀 더 깔끔하게 정리 해줬으면 좋았을거 같다. 둘의 사랑으로 감동 받았다가도 약혼남을 생각하니 감동으로만 볼수는 없을듯...,7
숲속에서(eble****),내 생애 최고의 영화라 자부하는 영화! 너무 연기좋았어요~ 눈물샘도 자극하고~,10
Dangelo(iml5****),"관람객


														
															
															
																보고 나니 연애가 아닌 사랑이 하고 싶어졌다.",9
qlrx****,"관람객


														
															
															
																보고 남자친구랑헤어졌다",9
정현철(yell****),왜 이걸 이제서야 봤을까.. 하아.. 마지막 장면과 그 대사의 여운이 너무 짙다.,10
스탈백배(mong****),"사랑은 이렇듯 문득 다가오는건데.. 모든걸 갖추고 사랑을 찾는 사람들.. 조건때문에 머리로 생각하고 사랑하는 사람들.. 나도 순수한 사랑을 할수있다는 안타까움 혹은 그시절에 대한 사무침, 동경이 눈물샘을 자극하는건 ...",10
허얼(suo9****),ㅎ ㅏ.. 이렇게 사랑할수있을까?,10
lktk****,책임감 없어 보일순있겠지만 난 과정을 보았기 때문에 엘리 선택이 충분히 이해가 가는대 이해 못하겠다는 사람은 30년후 론보다 함께 하고싶은사람 놔두고 책임감때매 약혼자랑 결혼하겠다는거? 다른사람 마음에 두고 결혼하는...,10
hwiw****,"둘은결혼에성공했고,노년까지함께했으며,같은날한침대에서숨을거두었다.해피앤딩이다.그런데왜가슴이아플까..아픔의의미는모르겠고,통증만뚜렷하다..",8
junt****,고슬링과 레이첼 조합은 충분히 멋졌다.,6
oneu****,"레이첼 맥아덤즈가 이 영화를 살렸다.여주인공의 몸짓, 대사, 표정, 말투가 정말 사랑에 빠진 사람같아보여보는 내내 같이 설레였고, 두 주인공 모두 다 자신의 있는 그대로를 보여준것같은 그런 영화 ^^ 캐스팅만으로도 ...",8
꽃대롱(gmlw****),아예 폰에 넣어다니면서 대사까지 다외움 아진짜 나한테 있어서는 최고의 영화임,10
Rozie(maru****),왜 울었는지는 모르겠지만 무튼 너무 울었네 뭣모르는 꼬맹이들이랑은 관계없이 올만에 감성돋는 영화 본것 같아 좋다,9
dkrl****,뭘 적어야 하는데..아무 생각이 나지 않아.. 난 좋은 영화를 보면 멍 하는데 지금이 그래.. 멍..,10
ㅇㅇ(plmk****),마지막에 진짜 눈물이....슬퍼서 나는게 아니라 너무 감동받고 아름다워 눈물이나요..,10
서영(syki****),레이첼 맥아덤스의 러블리한 미소가 하루종일 맴돌아요. 노아와 앨리의 사랑 정말 아름다웠어요. 그치만 앨리의 미성숙한 행동이 내 정서에서는 조금 아쉬웠던...,7
애비역(tali****),이게 10년전꺼라고?,10
lgsj****,노아의 기준으로만 행복한 영화지만약 약혼자의 기준이였다면?결혼까지 약속한 여자가 갑자기 첫사랑에게 돌아간다?약혼자가 노아와 앨리 두명다 총으로 쏴도 이해할 듯,1
좋을텐데(luca****),"배우들 연기력은 아주 좋은데 불륜 미화하는게 좀 거슬림.노아는 미망인 가지고놀다 버리고, 엘리는 7년?동안 옆에있어주고 자신의 과거를 용서해준 남자를 버림;;",5
hhhh****,사랑합니다. 아마도 평생 기억에 남을 영화. 생애 최고의  영화로 꼽아도 손색이 없을 영화. 이런 영화를 왜 지금에야 접하게 되었는지 자괴감에 빠뜨리게 할 정도로 매력을 가지고 있는 영화. 강추합니다.,10
ㅌㅇ(xodu****),영화는 재밌는데 생각해보면 그닥 좋은 주제는 아닌것같다. 첫사랑을 찾아 가는게 왜 안좋냐고 생각할 수 있겠지만 나는 여자의 책임감 없는 행동에 경악스러웠다. 결코 아름답게만 볼 수 없는 영화이다.,3
jaeh****,이보다 더 진한 로맨스는 없다.,10
suah****,"관람객


														
															
															
																노아 같은 사람을 만날 수 있을거라고 나에게 헛된 희망을 심어줌...",10
srob****,약혼남이 주인공이었다면 어떤 반응들이 나왔을지 궁금하다. 여자의 마음은 갈대라고 하지만 앨리의 마음은 갈대가 아니라 하늘을 나는 비닐봉다리를 연상시킨다. 흔들리는것도 유분수지. 어장관리도 아니고말이야..,1
queen(mara****),한 여자만을 사랑했다면서 외롭단 핑계로 섹스파트너는 당당히 소유한 노아. 한 남자와 헤어진후 또다른 사랑하는 약혼자가 생기고 노아가 돌아오자 약혼자가 있음에도 발정나서 과거남자와 다시 즐기는 앨리. 양다리걸치며 즐긴...,1
날새날아(neve****),지킨다는 것은 쉽사리 할 수 있는게 아니다. 이런거겠지..,9
최영은(apdl****),불륜미화쩌네요 노아는 앨리만바라본다면서 다른미망인과 원나잇하고 앨리는 약혼남도있으면서 노아못잊었다고 웨딩드레스도 맞춘마당에 약혼남에게 연락도잘안하고 노아랑 실컷사랑했죠 이게어떻게 감동실화러브스토리? 겁나약혼남만불쌍하...,1
이지연(s2ez****),그저 그녀가 너무 사랑스럽다. 그렇지만 그게 다인 영화. 이기적이고도 또 이기적인 사랑의 모습이 추악했다.(물론 주인공 지들끼리야 세기의 사랑이지. 근데 약혼남은 무슨 죄냐) 명작중의 대명작이라고?? 서운할 소리 하...,1
달파갱(dina****),"관람객


														
															
															
																첫사랑은 잊을 수 없는 사랑인걸까...우리는 왜 첫사랑을 잊지못하는가를 알려주는 영화",8
love****,"관람객


														
															
															
																제가 제일 좋아하는 영화입니다. 영화관에서 보게되어 기뻐요ㅠㅠ",10
흥(fani****),이 영화가 왜 높은 평점을 유지하는지 모르겠다. 미망인과 약혼자의 입장은 고려하지않은 둘 만의 이기적인 사랑을 아름답게 포장한 영화 아닌가? 누군가에겐 행복이지만 남겨진 또 다른 누군가에겐 비극이다. 높은평점보고 감...,1
AbNormaL(kail****),"관람객


														
															
															
																자신은 특별할 것 없는 평범한 사람이지만 남들보다 잘 한 것이 있다면 한 여자를 평생 열렬히 사랑했다는 늙은 노아의 말이 이 영화에서 가장 멋진 대사가 아닐까 싶다.",8
아실리스(skrd****),"관람객


														
															
															
																그냥 무조건한 세번봐야함",10
LT독식1등당첨자(yeon****),졸작 중 졸작이다. 노아란 샛기는 앨리만 본다면서 미망인을 가지고 놀았고 앨리는 7년간 자길 위해 모든걸 받친 잘나디 잘난 남자를 끝에 가서 모든걸 알고 용서해준 남자를 매몰차게 끝내네. 이게 진정한 사랑? 완전 지...,1
OPOP(top3****),"약혼남, 미망인만 불쌍해지는 불륜미화 영화",1
으휴(happ****),"관람객


														
															
															
																남자친구가 너무 울어서 귀여웠어요",9
허다은(daeu****),"관람객


														
															
															
																다시봐도 굿!!!나도 이런사랑 해봤으면...",10
코레일 주임 박선종(aall****),내가 남들과 다르다는걸 여실히 알게되었다.,1
엄서용(kank****),솔직히 9점대의 영화는 아니다..,1
박소영(soye****),"관람객


														
															
															
																약혼남이 불쌍하긴하네요",9
매니 파퀴아오(ldy2****),이게 슬퍼? 이 정도가 재밌는건가??,5
hhjh****,약혼자 정말 매력있다..,4
후아유(jida****),쓰레기 불륜영화. 불륜의 합리화가 대단하네요. 당한 약혼남과 미망인은 피눈물을 흘리겠습니다.,1
사랑에빠진남자(kgbb****),9년만에 다시 봤지만 여전히 아름다운 사랑이다 나도 그들처럼 늙고싶다,8
izis****,"관람객


														
															
															
																옛날 영화가 재상영되었다고 하는데, 너무 감동적이었습니다 :) 썸이 난무하는 요즘, 예전과 같은.. 이런 절절한 사랑이 있을까 하는 생각이 들었습니다.",10
뽀로로(gusd****),처음에 앨리가 너무 아깝다고 생각했는데 노아의 순애보가로 더 마음이 갔다. ㅠ론과 노아 둘 사이에서 갈등하는 앨리가 너무 미웠지만 고민할 수 밖에 없는 그 심정이 이해가 가서 더 안타까웠다. 어쩌다 치매에 걸렸는지 ...,9
차차(oacl****),"1점 주기도 아깝다 정신이 성숙치 못해 옛감정에 흔들려 약혼 파기한 영화, 이기적이고 책임감 없는 사랑과 결혼, 본인들만 아름다운 스토리",1
포뤠버(syy2****),세상 모든 연인/부부 들이 봐야할 영화 인것 같습니다. 정말 옆에 있는 사람이 너무 소중해 지는...,9
Hot Mess(lily****),아직 저렇게 미친듯이 사랑을 못해봐서 그런가...돈이 아깝다는생각이든다. 너무 이기적인거 같다 여주가.. 둘다 사랑하는데 남주를 더 사랑한다는건가..아무리 그래도 떠나기로 맘먹은 와중에 거짓말과 사랑한다는 말을 뱉다...,1
park****,이게 9점이라니...,6
지구돌멩이(sain****),아 감동적이다 하고 봤는데 생각해보니 정말 쓰레기 영화ㅋ 약혼남하고 미망인만 OO된거지,1
rydu****,"관람객


														
															
															
																하나 하나 명장면과 명대사로 가득한 깊은 곳 까지 여운을 남기고 끝나버린 사랑스러운 영화.",10
talktalk(dhdh****),쓰레기같은 년놈 둘이서 아주 좋단다. 관계정리 확실하게.하고 만나라 거지같은 년놈들아,1
캐진(kimt****),불륜미화 쓰레기같은영화,1
캐롱(nolj****),속았다 ㅡㅡ대체 어디가 어느부분이 아름답고 감동적이고 재미있다는걸까?  진짜 내가 고장난건지 슬퍼지네 ㅡㅡ,1
Sohee Kim(love****),왜 유명한지도 모르겠고 어디가 감동 포인트가 어디인지도 모르겠는 영화,1
다크나이트(pant****),역겨운 영화다. 결혼 직전에 내 여자의 전남친이 나타나서 데려가 버리면 미쳐버릴 듯. 진짜 여자들 역겹네요. 이게 아름다워요? 입장 바꿔서 생각해봐요. 님네 예비신랑 전여친이 갑자기 나타나서 델꼬간다 생각해봐요. 아...,1
yeda****,"관람객


														
															
															
																영화속 주인공들이 부럽네요",9
1203(hy06****),영화가 너무 극단적이네요,1
near****,"관람객


														
															
															
																다시봐도 여운이 많이 남는, 남주의 대사, 여주의 표정이 좋은 로맨스 영화",10
whyi****,노년의 사랑은 좀 인상적이었는데 젊은날의 둘의 모습은 로맨틱 하지도 감동적이지도 않음.,1
진정한팬(yaka****),뭔가 맘에 안드는 구석이 많은 영화. 요즘 나왔으면 뭇매를 맞았을만한 스토리가 아니었을지,1
앙마(qazw****),재미는 있는데 여운보다는 찝찝함이 남는영화,1
코스타시크(hope****),불륜미화영화 진짜 보기 싫다..,1
int(int_****),지도 미망인이랑 재미는 다 봐놓고 앨리가 지 선택 안 한다고 돈 때문이냐며 후려치는 영화. 지도 섹파끼고 논 건 생각 못하고 앨리한테 왜 지랑 잤냐고 빼액. 벤츠 약혼자랑 미망인이 제일 불쌍한 영화. 현실이면 정신 ...,1
맛동산(youn****),앨리가 진짜 노답임;;,1
잭와일드(jksm****),휴... 약혼남이 너무 불쌍함.,7
jmk7****,눈물흘리고싶어 봤지만... .그러나 도대체 어디가 슬픈가요? ..,1
Alpamiu(miu5****),"관람객


														
															
															
																세번째보는 영화임에도 감동은 여전했고 물질주의에 빠진 이시대에 사는 우리가 잃은 많은것들에 대한 향수를 불러일으키는  시간이었음",10
star****,ㅠ ㅠ 봐도봐도 끝장면에선 눈물이나는이유는 멀까 ...,10
dlek****,이 쓰레기같은 영화가 인기가 좋다는게 충격이다,1
최지은(geee****),"관람객


														
															
															
																눈물흘리고왓어요 로맨스로는 최고!",10
망권짱(kjk9****),"마지막 장면은 슬프고 감동적이지만, 이게 아름다운 사랑인지는 공감을 못하겠다. 본인이 약혼남의 입장이었더라도 저들은 아름다운 사랑이었네라고 말할수있을까.",5
바코(baco****),내용 뻔하고 억지감동 개지루함,1
튠튠(mins****),이건 그냥 쓰레기 불륜영화일뿐,1
juli song(juli****),이 새벽에 엄청 울었네요. 영원한 사랑은 뱀파이어 같은 게 아니죠.. 이런거죠...,10
24852(pcpa****),진짜 이건 9점대 영화는 아니다 아니 무슨 그냥 이건 쓰레기 불륜 영화지 솔직히 약혼자 뻔히 있고 결혼 준비까지 하고 있는데  다른남자한테 안기기나 하고... 이게 무슨 명작이냐;;;망작이지,1
비타nim(for9****),레이첼 맥아담스 쵝오♥,10
지나간(lawv****),사랑해요.노아....,10
보미(smfq****),이영화를 오래전에 알았지만 보는걸 미뤘는데 이 영화를 처음 알게 되었을때 봤더라면 그 사람을 놓치진 읺았을꺼다 내 인생이 달라졌을텐데 . 행복에 겨웠을텐데.. 너무 마음이 아팠다 이런 사랑을 해본 사람이라면 애잔한 ...,10
좋은사람(kbk3****),I wanna be with you~~,10
매력만점똘아이(setm****),깊어질수록 무뎌져가는 이해 못할 로맨스,6
ㅡ(1034****),"관람객


														
															
															
																론의 입장에서 생각하게된다",3
emil****,오랫만에 정말 OOO기같은 영화보네요 ㅎㅎ 불륜 미화 하는것도 너무 싫었고 약혼남만 너무 불쌍한 영화에요.. 앨리는 그냥 나쁜년 이고요. 이거보고 멘탈 산산조각 났습니다 . 안보신 분들은 앞으로도 안보는걸 추천드려요...,1
psmo****,개연성과 현실감이 부족한 영화였음.,1
꾸러기(szap****),보고 또 봐도 나도 노아같은 남자 만나고싶다 일편단심 나만 봐주는,10
jong****,절대 비추천함 최악의 영화임 어바웃타임보고 레이첼맥아담스때매 점수높게주나본데 평은 솔직해야한다고본다 솔직히 이 영화는 포장은 잘했는데 약혼반지까지 끼고 불륜저지르는 여자랑 딴여자 좋아하면서 욕정풀고싶다고 동네미망인과...,1
