user_id,review,score
미크로(ssab****),"퍼시픽림보고 느낀건데, 트랜스포머1 만한건 다신 못볼것같다..",10
anan****,시간이 흐를수록 깨닫게 된다. 로봇영화가 계속해서 나오지만 트랜스포머1만큼의 감동은 없다는것을. 퍼시픽림을 보고 나서 다시금 깨달았다. 이 영화는 재평가받아야한다. 걸작이다.,10
와황(gbwl****),CG의 한획을 그었지,10
토레기(woon****),영화관에서 못본게 한이된다,10
안필드(tmd8****),이 영화 보고 처음 걸어나왔을때 주변에 있는 차들이 다 변신할것만 같았는데..,10
gjst****,진짜 대박,10
브렌튼(yume****),"관람객


														
															
															
																트랜스포머4를 보고 1은 명작이었음을 다시 깨닫는다",9
feb4(beat****),어떻게 이런 영화가 7번방의 선물하고 동급이냐 ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈물자극하면서 감동주면 7점 먹고가는거?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...,10
블랙야크(blac****),"진심 트랜스포머 시리즈  1, 2, 3, 편 중 1편이 최고였음!",10
kimK(jose****),"이게 나온지 6년이 지났는데도 왜 아직 이만한 로봇영화가 안나오는 것인가? 난 비록 퍼시픽림도 재밋게 봤지만 캐릭터,스토리까지 다 따져보면 트포1편이 압도적으로 수작이네......",10
아스날(cold****),이건 CG의 교과서이자 불후의 명작이지... 처음 영화관에서 단순한 로봇영화인줄 알고 봤다가 변신하는 장면에 쇼크를 느낀 그순간을 잊을수 없다. 집가는길에 지나가는 자동차들이 금방이라도 변신할것처럼 보이는 이 센세이...,10
wndl****,처음 옵티머스프라임 변신장면때의 소름은 아직도 잊혀지지가 않는다. 그 어떤 로봇영화보다도 감동적이였다...,10
소닉사랑 HYUNWOO(gusd****),도대체 마이클베이는이 영화만들고 7년간 무슨 일이 있었던거냐,10
love****,내생애 최고의 액션로봇영화 ㅋ내꿈이 로봇조종사 ㅋㅋㅋ 였던 때가 있었지 그만큼 로봇애니를 엄청 보고 자랐는데 애니가 아닌 영화로 보는 순간 숨이 멈춰버릴것 같았다 스토리가 다소 떨어지지만 이 영화는 보는 즐거움 때문...,10
데드맨(dnst****),처음 이영화를봣을때의 전율은 아직도 잊을수없다.. 이게 2007년영화엿다는게 지금생각해보니 소름,10
깔리(raed****),이건 내가 지금까지 본 영화중에 진짜 최고다 한 5번은 본것같지만 아무리 봐도 처음 봤을때의 감동이 계속 느껴지는 최고의 작품. 퍼시픽림은...쨉도 안된다,10
jihu****,이거 최소 9.5이상 받아야 정상인듯... 내가 mp3담아서 400번 넘게봄 진심. 덤으로 자막빼고 봐서 영어 대사 다 외웠음.,10
노씌(spin****),"스토리고 뭐고 사실 시리즈 최고이고, 첫변신장면의 컬쳐쇼크를 잇을수가 없다.",10
배준호(h469****),이게뭐야 아무리 후작이 그렇지만 로봇영화의 대작이고 cg의 진수를 보여준 영화인데 9점대는 받아야지,10
기브미(ych5****),초반 블랙아웃의 공격은 정말 충격이었다.  1편만한 작품 나오기 힘들듯.,10
sanoee(tmdg****),퍼시픽림을 보고난후..정말 이만한 영화 없다고 다시 생각됨....,10
Johnny Lee(52no****),그 당시 혁명의 영화. 지금봐도 꿇리지않는 작품,10
ㅇㅇㅇㅇㅇ(qroo****),너네 이거 아직도 cg로 알고있네?,10
toto****,이때 개봉당시에 진짜 영화계의 새로운 역사가 쓰여진 만큼 센세이션 일으킨 작품,10
푸른불(adiv****),개봉 둘째날 재미있게 본영화....  정말 극장에서 봐야 재맛을 느낌..,10
hello지헌(2gyh****),결국 이 영화도 고전을 향해 달려가는구나...,10
