user_id,review,score
CKH(hoon****),진정한 천만영화임. 다른 천만 영화들은 두번보러 간사람도 많아서 천만명이라는 숫자에 의구심이 생긴다. 티켓이 천만장 이상 나간거지 천만명이 본건 아니잖아? 하지만 해운대 봐라. 누가 이걸 극장가서 두번 봤겠냐. 따라...,3
hana****,부산 사람으로서 한마디 하는데 제발 사투리 연기 하지마라,1
히드라리스크(dhrl****),죄송합니다 제가 이 영화를 극장에서 두 번이나 봤습니다,5
dule****,해운대 앞 호텔들 높이의 쓰나미가 오는데 전봇대 올라가면 다 살아남음 ㅋㅋㅋ,1
헤이준(clam****),2012보다 먼저개봉한걸 다행으로여겨야되는영화,6
rlar****,이민기랑 할아버지가 불쌍함,8
eemh****,재밌던데 ..,10
bits****,이거보고 슬프면 진짜 감수성 풍부한거야,3
우훌루후후(dngk****),이런 영화도 천만이 넘네. 한국영화는 갈길이 멀다. 하긴 진정한 천만 영화다. 두번 본 사람은 없을 테니.,2
이지현(jh03****),도망갈 때 사람들이 다 웃으면서 뛰어가 ㅋㅌ,10
loveloveboy(coco****),연가시나 이영화나 진짜 억지감동주는거 싫다 이혼위기부부가 갑자기 사랑한다고 하고  사람죽어가는상황에서 애는 꼭태우고가고 등등 아너무나도 불편하다 윤제균영화엔강예원은 꼭 따라나오는것도,1
라푼젤(aqua****),오그라드는 대사. 억지 감동. 유치 개그. 어설픈 CG. 박중훈 발연기. 그나마 이민기 때문에 5점.. 너무하다 이게 천만 영화라니,5
푸른불(adiv****),김인권 이민기가 제일 볼만했다.,7
kwon****,<투모로우>라기 보다는 <1번가의 기적>에 가깝다,5
qkre****,솔직히 3류급 해외재난영화보다 질떨어지고 유치뽕짝. 뻔한스토리 표절범범벅인 영화...한국에 규모있는 블록버스터라고 한국인들이 선심쓰듯 평점주는 창피한영화,1
son1****,천만관객이 이해가 안되는 영화 1위!!!,1
미스정(jung****),박중훈 연기 왜이러냐 ㅡ.ㅡ,1
1wpe****,이민기 연기도 정말 잘하고 사투리도 매력적. 잘생기고 연기 잘하고,10
빠따라이씨스(hono****),극장갔더니 8개관중에 6개에서 이거 하더라 ㅡㅡ 여친이 옆에서 다리아프다고 궁시렁 거려서 그냥 봤었다 OO ㅡㅡ 지금 생각해보면 내가 이영화 천만에 일조했다는게 너무 창피하다,1
best of lovely(jsk9****),이민기 죽을때 울었음.... 이민기때문에 10점,10
나이루(dkdl****),한국 영화는 이래서 함부로 극장 가서 보면 안 되는 거임 엄청 후회했었음,3
it4x****,이해할수 없다 천만관객 동원은 마케팅의 힘인가 이따위게 천만 관객 돌파하면 외국인들이 이영화 보고 아 한국사람 수준 참 낮게 볼까 두렵다 왜 흥행한거지 거지같은 영화,1
chan****,이민기때문에 흐뭇하게 봤다ㅋㅋ 다른건 뭐 ... 그냥 괜춘했다,10
팝콘(popc****),이딴게 천만관객이라니 ... 어이없다 정말,1
