user_id,review,score
달걀몬(stel****),진심  너무 재밌게봄ㅋㅋㅋㅋ,10
ferr****,연인이 아닌 친구사이의 남녀가 함께 보면 조금 어색해질 수 있으니 주의...,8
smwb****,캐스팅 완전 좋다.,10
미래설계(rldj****),이런 영화 좋아요 <3,10
rami****,완전 재밌게봄ㅋㅋ 남여사이에 쿨한 친구사이는 없다,10
gamw****,재밌!,10
psj5****,3번이나 본 영화! 안에 대사들도 그렇고 소소한것들이 빵빵터진다 뻔한스토리지만 뻔하지않게 풀어낸것 같음 뭣보다 배우들 캐스팅이 아주좋음!,10
반딧불이(jeff****),미국의 자유로운 문화도 엿보였던ㅋ 커플끼리 보면 더재미있을듯  밀라쿠니스 참  이쁘고 섹시하네요!!,10
원숭용(monk****),잼나 !!둘이너무 귀엽고...여자 강해보이지만  상처받고 그마술상자안으로 숨을때 너무 슬펐음  해피앤딩좋다!,10
영국남자(swat****),팀버레이크의 연기가 조금 부족하긴 했지만 이렇게 재밋게 본 로멘틱 코미디 몇 개 없네 ㅋㅋㅋ 모든 로멘틱 코미디가 그렇듯이 좀 뻔한 전개지만 확실히 잘 만든 영화임에는 틀림이 없네요. 가벼우면서도 달달하고 화끈한 작...,9
쏘지마님(sson****),결말이 모든걸 말해준다 남녀 간 진짜 친구는 없다,8
SUPER(0078****),새벽에 보고 기분좋아지는 영화,10
스매니아(pass****),게이연기는 우디해럴슨이 지존..그런데 문열면서 섹스에 돌입하는 그런 남북전쟁때 하던 장면이 현재에도 헐리웃에 통용되는 건 놀라울 따름이다,8
음악이야기(odol****),전에 봤던 영화이지만 영화에서 해피엔딩으로 끝나지만 현실에선 친구와 친구사이에서 썸을 타다가 그기간이 지속되면 썸으로 끝나는 경우가 많더라구요. 결론은 서로 사랑한다면 둘 중에 하나는 남자가 되든 여자가 되든 적극적...,9
맛난감자(rd72****),"연애관은 4G, 공식은 2G",7
아라가키(m132****),미국은 참 어떤 장르의영화를 만들어도 왜케 재밌게 잘만들까.... 영화 정말재밌다 어휴 미국가고싶네 ㅠㅠ,10
star****,아버지때문에 몇번이나울었네 ㅠㅠㅠ 뉴욕.. 미국의삶은정말이럴까?? 영화속삶이 정말 인간다운삶이라고 느껴진다.. 우리나라도 이렇게 자유로운 나라가 될수없는걸까..,10
zephyr(tn99****),주변 인물들까지 매력 있음~!,10
djwkfjd(anse****),진짜 1시간40분이 20분같이 지나감,10
화창한날(dayu****),취향저격하는 영화  완전 재밌음ㅋㅋ,10
쿨쿨이(mi86****),로맨스 공식을 충실하게 따랐지만 톡톡튀는 대사와 캐릭터가 유쾌하고 신선함을 더했다,8
13시39분(gion****),"영화와 비슷한 상황이라 고민이 많던중 친구가 추천해서 보게 됬는데 very good!!!! 유머코드도 좋고 대사도 폭풍공감 그리고 유일한 친구나 다름 없는 엄마와 딸의 관계, 아빠와 아들의 관계. 너무 좋았어요. 밀...",10
라즈알굴(dlwo****),아는데도 재밌다.,8
become(park****),밀라쿠니스 같은 여자를 친구로 어케둠 ㅋㅋㅋㅋ,9
상콤(ddal****),처음엔 뻔한 로코겠거니 별 생각없이 보다가 완전 빠져들어서 봄.... 캐스팅 너무 좋다! 여주인공 캐릭터도 밀라 쿠니스 완전 매력적임! 대사들도 재밌고,8
유천독재(kill****),저스틴 팀버레이크한테 반함,10
joonyuk0913(vkxm****),이 영화 완전 내 스타일이야ㅋㅋ 7번봤다.,10
mindmore(u2ki****),거침?없이 달달해서 좋다 I ♥ NY,8
맨체스터유니드니킥(shut****),아메리칸 마인드를 갖고싶다,9
shgibd(1228****),남주여주둘다너무귀엽고사랑스럽ㅠㅠ딱 로코지만 우리나라 정서에서는 나올수없는 영화라 그런지 신선하고 재밌음!!,10
욱소(rode****),나쁘지 않았다. 분위기가 밝고 유쾌한 영화!,8
가젤(wocj****),"서로 대비되는 두 도시(바쁜 도시 뉴욕, 휴양의 도시 LA)를 여행하고온 기분이다. 사랑과 우정을 왔다 갔다 하는 두 남녀의 이야기도 잘 버무려져서 보기 좋았다.",10
양비량(sksm****),둘이 실제로 사궈도 잘 어울릴듯!! 넘 잘 봤어요,10
귤(eoe2****),다른 것 보다 대사 한 마디 한 마디가 너무 센스있어서 몰입할 수 밖에 없다.,10
샤가럽(egks****),이런 느낌의 영화가 가끔은 부러울 때가 있다.,7
thkf****,9점짜리영화★☆ 내가너무재밌게봤나 이것저것따질것없이 정말 유쾌하고 보는내내 행복했던영화,9
kiss****,멜로 영화 안보는데 잼있게 봤다. 역시 남여사이는 친구가 될 수 없다는 건 만국공통 진리임. 여배우 매력적이다.,8
크리에이태로(rnfk****),방금 슈퍼액션에서 해서 무심코봤는데 정말 재미도 재미지만 현실적인 명대사도 많구 아버지랑 팬티입고 식사하는장면도 하 암튼 굿굿,10
안혜원(ahw8****),편하게 볼 수 있는 로맥틴 코메디에요 ㅎㅎ 둘다 연기도 괜찮으니가 ㅎㅎ,10
pos1****,사랑과 삶에 대해서 더 깨닫게 해준 영화 인것 같다.,9
해피걸(miya****),생각보다 훨~씬 재밌었어요,10
홍조(gowa****),재미씀ㅋㅋㅋ이런류영화 추천좀해주세요ㅠㅠ,10
iiao****,웁시 ㅋㅋㅋ 영화 재밌어요^.^*,10
peanut(marm****),완전 재밌게 봤다. 나도 저런 친구..,9
beau****,"뻔한영화, 킬링 타임용!",4
kjsn****,진짜 웰메이드 로코인듯ㅋㅋㅋ,10
shs2****,너무 기분좋아지는 영화네요 평점이 너무 낮은듯,10
Yoon(god4****),오랜만에 재밌게본 헐리우드식 로맨스영화였음.,10
방유진(yur9****),재밌음ㅋㅋㅋ추천합니다!!,10
태우엄마(sdc2****),너무재밌는데..흠잡을때가없음!,10
스머프(song****),유쾌하고 재밌는영화다  남녀간의 친구사이는 힘들지...,10
dlqj****,보는 내내 지루하지않고 여운없이 깔끔하게 잼밌는영화였습니다,10
이씀(gg56****),진정한 로멘스 코메리 와우,10
별명명명(godc****),와우재밋썽 캐스팅 굿!,9
dnru****,전 재밌게 봤네요ㅎㅎㅎ,8
xodu****,너무 재미있게 봤어요 ㅋ 연기도 잘하구 몰입이 잘되네요,10
이호선(jose****),하.... 연애하고싶다 ㅜ,10
panp****,오랜만에 다시봤는데 재밌네요ㅋㅋ,10
미상(ghcm****),평점이낮네  재밋는데.,10
비린내나는부둣가를(rock****),"여주 이쁘고 매력있다, 쫌 지루하고 유치하다 영화는 해피엔딩으로 끝나지만 현실에서 이런식으로 썸타다가 서로에게 서운해져서 끝나는 남녀 엄청 많다",6
alps****,이보다 식상할 수 있을까?,6
하림(bibl****),너무 재밌음 저스틴 팀버레잌인줄은 몰랏네,9
rryy(seek****),진짜 로맨틱코메디의 정석ㅋㅋㅋ,9
1078(hepi****),평점 왜이리 낮지? 진짜 재밌게 봤는뎈ㅋㅋㅋ 짧고 굵음 인생영화,10
레어리(lees****),Mila Kunis !!!,9
졔졔(zeze****),투닥투닥 대화하는 장면들이 제일 귀엽고 예쁘다 친구같은연애를 보여주는 대표적인영화. 질투를 느끼고 머리가 복잡해지면서 결국 이감정이 사랑이라는걸 알게되는 뻔하지만 공감되는 내용의 기분좋은영화. 개인적으론 평점9.2 ...,10
핑크러브(timo****),이런 영화 너무 좋음 ㅎㅎㅎ,10
dmsq****,별기대 안하고 봤는데 너무 재밌다. 캐릭터들도 정말 매력적이고 시간 가는 줄 모르고 봄ㅋㅋ,9
qlsr****,티비에서해주길래봤는데 꿀잼ㅋㅋㅋ이런게로멘틱코미디지ㅋㅋㅋ,9
조한나(jona****),my favorite,10
