,user_id,review,score
0,sofk****,시간을 되돌릴 수 있다면… 결과는 같다? 씨네21 | 이현경 - 스포성 전문가 평점 좀 없었으면 좋겠다 젠장,10
1,칵칵칵트(ocul****),가슴을 따뜻하게 해주는 정말 완전소중한 영화 ㅠ~ㅠ,10
2,cjwm****,재밋습니다 후회없습니다,10
3,빅루니(xebe****),아버지와 탁구시합 후 산책하러 가는장면에서 너무 많이울었네요. 지금도 눈물이 살짝 고이네요.네이버 평점에 처음 글 남깁니다. 너무 감동이었고 다시금보고프게 만드는 영화입니다,10
4,자유방임(idmo****),가슴 따뜻해지는 영화입니다. 올겨울 강추,10
5,네르피온(sisd****),하루 하루를 어떻케 살아야 되는지 느끼게 해주는 영화 !!,10
6,Acta non verba(papa****),올해본 영화중 최고다. 처음에는 가볍고 웃기게 전개되지만 끝에는 교훈과 따뜻함을 주는영화다.,10
7,치츠케(tset****),인생이 바로 시간여행을하는것이다. 라는 독백과... 과연 나는 시간을되돌릴수있다면 언제로돌릴수있을까? 난 과연 현재에 충실히 살고있는것인가...란 화두를 던져주는영화,10
8,Issac(bsh0****),"기자, 평론가들은 영화를 보면서 무슨 생각을 하고 보는진 모르겟지만 일반적으로 이 영화 보고 저런 생각 안들껍니다. 재밌고 작은 감동, 교훈...",10
9,하늘(zzzx****),레이첼 맥아덤스 넘 이쁘네요^^,10
10,itsl****,"관람객


														
															
															
																마지막으로 아버지와 함께 보낼때 눈물 펑펑 쏟았다ㅠㅠ",9
11,문학소년(firs****),기대 하지 않았던 길모퉁이의 맛집의 따뜻함,10
12,Lucifer(aaih****),진짜 감동이었음. 이번해 개봉영화중에 제일 따뜻하고 달달한듯,10
13,zero****,영화를 보면 누구나 공감한다. 이건명작이라고,10
14,싱노타키온(over****),10점이 절대 아깝지 않은 영화. 달달한 로맨스도 좋지만 가슴 먹먹한 부자의 애정도 매우 인상깊었습니다. 간만에 눈물 빼고 영화봤네요..,10
15,소프트아이스크림(1004****),그저 사랑타령하는 로맨스코미디가 아니라 마지막엔 가족이 보였다. 그리고 두번사는것처럼 순간에 최선을 다하게 됬다.또 집에와서 부모님을 안아드렸다.,10
16,센치(mado****),"기자,평론가란 영화평을 하는 사람이다. 네이버 기자, 평론가중에는 박쥐들이나 거만쟁이 아니면 스포 남발하는 얼간이들도 있더라.",10
17,닉네임(alsr****),시간 되돌려 가면서까지 연애하는법좀 배워볼려다가 인생을 배우고 온 영화,10
18,사차원디자인(sape****),"""씨네21 이현경"" 뭐하는 짓이냐? 평론가라는게 스포질이냐? 개념좀 챙겨라 기본도 안되면서 뭘 평론한다는거냐!!",9
19,Go J(go11****),두근거리러왔다가 감동과 교훈까지 얻고간다.,10
20,prip****,어쩜.. 유치하기 짝이 없는 진부한 상상을 토대로 이런 아름다운 영화를 만들 수 있는건지ㅠㅠ,10
21,쫀쫀이(cms8****),"이 영화를 보는 도중 잠들어 버린 여친... 그녀는 분명 아무 감정을 못느끼는 사이코 패스임을 확신 하고, 나는 영화가 끝나고 그녀에게 바로 이별을 고했다.",10
22,이끼(lacd****),평론가의 평점에도 공감 비공감 누를 수 있게하라.,10
23,지성빈(jisu****),"평론가들의 리뷰를 보고 결말을 알아버린 것 같아 김 샜지만 왠걸, 매 순간 순간을 행복하게 살자는 게 어떻게 결과가 같다는 식으로 표현되는지 이해가 가지 않는다. 아름다운 음악과 사랑스러운 두 남녀, 가족들의 웃음에...",10
24,은우(tgir****),"관람객


														
															
															
																주어진 시간.. 일상의 소중함을 다시 생각합니다..그럼에도 되돌리고 싶은 과거 몇장면은 자꾸 떠오르네요..",10
25,이경민(kymi****),남은 보름동안 이 이상의 영화가 나오지 않는다면 2013년 최고의 영화 타이틀을 주고 싶다,10
26,tlxj****,이영화는 2번 3번봐도 아깝지않을 명작입니다.^^,10
27,긍정의힘(ssoo****),강추합니다. 기분좋아지는 영화,10
28,mini****,아침 조조영화로 보앗는데..아침에 봐서그런가? 좀더 감동이 또 여운이 길게 간것같다. 주인공이 시간을돌려 자기 사랑을 이뤄나가는것 멜로.로맨스 영화야 뻔한 전개일수 있지만 우리는 그걸 알면서도 따뜻한 겨울 로맨스가 ...,9
29,dnrj****,"관람객


														
															
															
																몇 일간이였지만 삶에 태도를 바꿔줬으니 .. 최고",10
30,sms(sms3****),간만에 제대로 돌아온 로코장인의 제대된 데이트 무비,10
31,랄뚜(2473****),"관람객


														
															
															
																다시봐도재밌는영화..뭔가뭉킁",9
32,진호(cjh8****),진심 내가 영화 300편 정도 보고 최고의 영화는 인셉션 이라생각했었는데 어바웃 타임이 모든걸  깨버렸음 진심 평점 매기는것도 처음이고 두번정도 더 볼 생각이다. 진심.. 와.. 대단한 영화,10
33,에스티김(stor****),벅차오르는 이감동은 대체 머지,10
34,lees****,남주랑 여주랑 처음 만나는장면이 왜이리 설레고 두근되던지요 레이첼 맥아덤즈 넘넘 사랑스럽고 내용도 재밌고 교훈도있고 베스트3에 꼽는 영화인 것 같아요,10
35,나리(sara****),"예고만 본다면 하나의 사랑이야기 같지만, 더 큰 가족의 사랑을 담고 있습니다. 마지막 장면에서 정말 많이  우시게 될겁니다.",10
36,주작8호(jooz****),씨네21 영화평은 기자들이 한 건가?그래도 문과 나왔을 텐데 수준이 다들 왜 그모양인지...가슴이 따뜻해지고 쉽게 지나쳤던 일상에 애정을 느끼게 만드는 교훈까지 겸비한 종합선물세트 영화입니다~^^ 강추!,10
37,SM(crus****),"관람객


														
															
															
																이 퀄리티는 유지하는구나. 믿고 보는 워킹타이틀.",9
38,유지니(kimw****),흔하다고 생각할 수있는 타임슬립이란 주제로 최고의 감동을 주었습니다. 보고나면 누구든지 가슴이 따뜻해지고 뜨거운 먹먹함을 느끼실 겁니다.,10
39,이현진(qhsh****),최고 ㅠㅠ 최고최고 일상을돌아보게반드는영화 ㅎ,10
40,이슬비(wodn****),딴말은 하나도 필요없고 진짜 최고였다. 넘 재밋게 봤음. 등장인물 하나하나 다 좋았다. 정말 마음 따듯해지고 행복한 영화... 특히나 아부지와의 씬들은 정말 너무 좋았다. 교훈도있고 감동도있고 재미도있고 너무 좋았음...,10
41,유후(rkdm****),"추천드리고 싶습니다. 로맨틱 영화가 주인줄 알고 들어갔다가 다른 것들로 펑펑 울고왔네요. 다시는 되돌릴수 없는, 어쩌면 마지막인 순간들 그리고 사랑에 빠진 두사람이 부모가 되어 간다는것.진심을 다해 추천드립니다.",10
42,019(pink****),영화끝나고 박수를 치고싶었다,10
43,이서희(ah20****),로코라해서 킬링타임용인 줄 알았는데... 거의..나중에는.. 진짜 많은 생각을 하게 만드는 영화였음.. 영상미도 좋았고 인물들도.. 굿!!,10
44,젝틀(tler****),돈주고 볼 가치가 있는 아름다운 영화,10
45,NG(thgm****),극장에 나오면서 가슴이 따뜻해지는 영화입니다 ㅎ,10
46,고뱌(thqu****),평점 10점도 부족함..,10
47,kkwt****,"관람객


														
															
															
																시간을 되돌릴수는 없지만, 그 안에서 많은 것들을 느낄수 있게 해주는 수작입니다",10
