movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20090834,아바타,161,미국,"SF,액션,어드벤처","['샘 워싱턴', '조 샐다나', '시고니 위버']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']","['', '', '']","['', '', '']","['20101507', '20175001', '20100041', '20175001', '20100041']","['이십세기폭스필름코퍼레이션', '주식회사 해리슨앤컴퍼니', '이십세기폭스코리아(주)', '주식회사 해리슨앤컴퍼니', '이십세기폭스코리아(주)']","['20th Century Fox Film Corporation', 'Harrison & Company', '20th Century Fox Korea', 'Harrison & Company', '20th Century Fox Korea']","['제작사', '배급사', '배급사', '수입사', '수입사']","['12세이상관람가', '12세이상관람가']"
19980074,타이타닉,194,미국,"드라마,멜로/로맨스,액션","['레오나르도 디카프리오', '케이트 윈슬렛']","['Leonardo Dicaprio', 'Kate Winslet']","['', '']","['', '']","['20104469', '20040021', '20100041', '20142849', '20040021']","['파라마운트 픽쳐스', '씨네힐', '이십세기폭스코리아(주)', '(주)영화사오원', '씨네힐']","['Paramount Pictures', 'CINEHILL', '20th Century Fox Korea', '', 'CINEHILL']","['제작사', '배급사', '배급사', '수입사', '수입사']","['15세 미만인 자는 관람할 수 없는 등급 ', '15세이상관람가']"
20129370,명량,128,한국,"사극,액션","['최민식', '류승룡', '조진웅', '김명곤', '진구', '이정현', '권율', '노민우', '김태훈', '이승준', '오타니 료헤이', '박보검', '박원우', '서성광', '오명훈', '유명환', '윤희경', '이윤기', '정수남', '정순태', '정의석', '김원해', '이해영', '장준녕', '김길동', '김강일', '강태영', '하형원', '한상대', '김동원', '김민석', '김민식', '김재철', '김준형', '김현중', '박선용', '박노식', '최덕문', '조복래', '문영동', '이주실', '주석태', '이성우']","['CHOI Min-shik', 'RYU Seung-ryong', 'CHO Jin-woong', 'KIM Myung-kon', 'JIN Goo', 'LEE Jung-hyun', 'KWON Yul', 'NO Min-woo', 'KIM Tae-hun', 'LEE Seung-jun', 'OTANI Ryohei', 'PARK Bo-gum', '', 'SEO Seong-kwang', '', '', '', '', '', '', '', 'KIM Won-hae', 'LEE Hae-young', 'JANG Jun-nyeong', 'KIM Gil-dong', 'KIM Kang-il', 'KANG Tae-young', '', 'HAN Sang-dae', '', '', '', '', '', '', '', 'PARK Nou-sik', 'CHOI Duk-mun', 'JO Bok-rae', 'MUN Yeong-dong', 'LEE Ju-sil', 'JOO Suk-tae', 'LEE Seong-woo']","['이순신 ', '구루지마 ', '와키자카 ', '도도', '임준영 ', '정씨 여인 ', '이회', '하루', '김중걸', '안위', '준사 ', '수봉', '조선수군/왜군', '이억기', '승병2', '조선수군/왜군', '조선수군/왜군', '조선수군/왜군', '조선수군/왜군', '조선수군/왜군', '조선수군/왜군', '배설', '송희립', '나대용', '황보만 ', '가토', '기무라', '조선수군/왜군', '조선수군/왜군', '조선수군/왜군', '안위부장', '조선수군/왜군', '조선인화폭선포로', '안위선격군', '조선수군/왜군', '조선수군/왜군', '김억추', '송여종', '오상구', '김돌손', '종선할매', '가츠라', '조선수군']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20123063', '20110854', '20110854', '20100109']","['(주)빅스톤픽쳐스', '씨제이이앤엠(주)', '씨제이이앤엠(주)', '씨제이엔터테인먼트']","['BIGSTONEPICTURES', 'CJ ENM Corp.', 'CJ ENM Corp.', 'CJ Entertainment']","['제작사', '배급사', '제공', '해외세일즈사']",['15세이상관람가']
20124079,"광해, 왕이 된 남자",131,한국,"사극,드라마","['이병헌', '류승룡', '한효주', '장광', '김인권', '심은경', '김명곤', '서진원', '장재현', '정창국', '조혜정', '김남준', '이수용', '박윤호', '김지수', '박민규', '박지아', '송미정', '양준모', '원동연', '김종구', '주영호', '이엘', '전배수', '이란희', '최욱', '이봉련', '허성태', '이양희']","['LEE Byung-hun', 'RYU Seung-ryong', 'HAN Hyo-joo', 'JANG Kwang', 'KIM In-kwon', 'SHIM Eun-kyoung', 'KIM Myung-kon', 'SEO Jin-won', 'JANG Jae-hyun', '', '', '', '', '', '', '', 'PARK Zi-a', '', '', 'WON Dong-yeon', 'KIM Jong-gu', 'JU Yeong-ho', 'LEE El', 'JEON Bae-soo', 'LEE Ran-hee', 'CHOI Wook', 'LEE Bong-ryeon', 'HEO Sung-tae', 'LEE Yang-hee']","['광해/하선', '허균', '중전', '조내관', '도부장', '사월이', '박충수', '도총관', '광해 등불 내관1', '자객2', '기미 궁녀1', '강원도 현감', '칼자국', '유생4', '자객1', '광해 등불 내관2', '한상궁', '사월이 대역', '', '홍루몽 선비', '광해 어의', '광해 별감1', '안개시', '형판', '수라간 궁녀3', '유생 2', '수라간 궁녀1', '국문장 나장1', '공판']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20100540', '20110854', '20110854', '20110854', '20111391', '20114892', '20114895', '20061365', '20061361', '20123779', '20061362', '20123115', '20111451', '20100109']","['리얼라이즈픽쳐스(주)', '씨제이이앤엠(주)', '씨제이이앤엠(주)', '씨제이이앤엠(주)', '비엠씨영화전문투자조합', '컴퍼니케이파트너스 콘텐츠 전문투자조합', '그린손해보험(주)', '이수창업투자(주)', '소빅창업투자(주)', '에스크베리타스자산운용(주)', 'CJ창업투자(주)', 'MVP창투문화산업투자조합', '(유)동문파트너즈', '씨제이엔터테인먼트']","['Realies Pictures, Inc.', 'CJ ENM Corp.', 'CJ ENM Corp.', 'CJ ENM Corp.', '', '', 'Green non-life insurance co,. Ltd', '', '', '', 'CJ Venture Investment', '', '', 'CJ Entertainment']","['제작사', '제작사', '배급사', '제공', '공동제공', '공동제공', '공동제공', '공동제공', '공동제공', '공동제공', '공동제공', '공동제공', '공동제공', '해외세일즈사']",['15세이상관람가']
20070061,트랜스포머,135,미국,"SF,액션,어드벤처","['샤이아 라보프', '메간 폭스']","['Shia LaBeouf', 'Megan Fox']","['샘 윗윅키', '']","['', '']","['20100694', '20102885', '20104469', '20100109', '20100109']","['드림웍스픽쳐스', '드림웍스 SKG', '파라마운트 픽쳐스', '씨제이엔터테인먼트', '씨제이엔터테인먼트']","['', 'DreamWorks SKG ', 'Paramount Pictures', 'CJ Entertainment', 'CJ Entertainment']","['제작사', '제작사', '제작사', '배급사', '수입사']",['12세이상관람가']
20184889,어벤져스: 엔드게임,180,미국,"액션,SF","['로버트 다우니 주니어', '크리스 에반스', '마크 러팔로', '크리스 헴스워스', '스칼렛 요한슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Bradley Cooper', 'Josh Brolin']","['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']","['20161801', '20161801']","['월트디즈니컴퍼니코리아 유한책임회사', '월트디즈니컴퍼니코리아 유한책임회사']","['The Walt Disney Company Korea', 'The Walt Disney Company Korea']","['배급사', '수입사']","['12세이상관람가', '12세이상관람가']"
20183867,알라딘,127,미국,"어드벤처,가족,판타지","['메나 마수드', '윌 스미스', '나오미 스콧']","['Mena Massoud', 'Will Smith', 'Naomi Scott']","['', '', '']","['', '', '']","['20161801', '20161801']","['월트디즈니컴퍼니코리아 유한책임회사', '월트디즈니컴퍼니코리아 유한책임회사']","['The Walt Disney Company Korea', 'The Walt Disney Company Korea']","['배급사', '수입사']","['전체관람가', '전체관람가']"
20127593,7번방의 선물,127,한국,"코미디,드라마","['류승룡', '박신혜', '갈소원', '정진영', '오달수', '박원상', '김정태', '정만식', '김기천', '장호준', '김동민', '박수진', '박유경', '박정배', '조덕현', '박상면', '조재윤', '박길수', '이승연']","['RYU Seung-ryong', 'PARK Shin-hye', 'GAL So-won', 'JUNG Jin-young', 'OH Dal-su', 'PARK Won-sang', 'KIM Jung-tae', 'JUNG Man-sik', 'KIM Ki-chun', '', 'Kim Dong-min', '', '', '', 'CHO Duk-hyun', 'PARK Sang-myun', 'JO Jae-yun', 'PARK Gil-soo', 'LEE Seung-yeon']","['용구', '큰 예승', '어린 예승', '특별출연-민환', '방장', '춘호', '만범', '봉식', '서노인', '이발소꼬마/동자승', '망루 경비교도대원', '교정사역팀/뮤지컬팀', '교정사역팀/뮤지컬팀', '교정사역팀/뮤지컬팀', '경찰청장(지영부) ', '우정출연-빠박이', '김교도관', '정교도관', '민환처']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20100411', '20100934', '20100932', '20100932', '20061365', '20111451', '20122482', '20061362', '20142968']","['(주)화인웍스', '(주)씨엘엔터테인먼트', '(주)넥스트엔터테인먼트월드(NEW)', '(주)넥스트엔터테인먼트월드(NEW)', '이수창업투자(주)', '(유)동문파트너즈', '캐피탈원(주)', 'CJ창업투자(주)', '(주)콘텐츠판다']","['FineWorks', 'CL entertainment, Inc.', 'Next Entertainment World', 'Next Entertainment World', '', '', '', 'CJ Venture Investment', 'CONTENTS PANDA']","['제작사', '제작사', '배급사', '제공', '공동제공', '공동제공', '공동제공', '공동제공', '해외세일즈사']",['15세이상관람가']
20136803,겨울왕국,108,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","['이디나 멘젤', '크리스틴 벨', '조나단 그로프', '조시 게드']","['Idina Menzel', 'Kristen Bell', 'Jonathan Groff', 'Josh Gad']","['엘사 목소리 ', '안나 목소리 ', '크리스토프 목소리 ', '올라프 목소리 ']","['', '', '', '']","['20125636', '20125636']","['소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)', '소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)']","['SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.', 'SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.']","['배급사', '수입사']","['전체관람가', '전체관람가']"
20135428,어바웃 타임,123,영국,"멜로/로맨스,코미디","['레이첼 맥아담스', '도널 글리슨', '빌 나이']","['Rachel McAdams ', 'Domhnall Gleeson', 'Bill Nighy']","['메리', '팀', '']","['Mary', 'Tim', '']","['20100603', '20100603']","['유니버설픽쳐스인터내셔널 코리아(유)', '유니버설픽쳐스인터내셔널 코리아(유)']","['Universal Pictures International Korea', 'Universal Pictures International Korea']","['배급사', '수입사']",['15세이상관람가']
20040734,노트북,123,미국,멜로/로맨스,"['레이첼 맥아담스', '라이언 고슬링']","['Rachel McAdams ', 'Ryan Gosling']","['', '']","['', '']","['20104412', '20169189', '20100109', '20139095', '20100203']","['뉴라인 시네마', '글뫼 주식회사', '씨제이엔터테인먼트', '(주)퍼스트런', '스튜디오플러스(주)']","['New Line Cinema', '', 'CJ Entertainment', 'First Run Inc.', 'Studio Plus Inc.']","['제작사', '배급사', '배급사', '수입사', '수입사']","['15세관람가', '15세이상관람가']"
