user_id,review,score
파라스윗(love****),이 영화를 안 본 사람이 너무 부럽다. 내가 처음 봤을 때의 그 감동을 느낄 수 있는 기회가 있으니..,10
ys(sori****),몇번이나 봤지만 감명깊은 영화...우연히 보게 된 것은 초등학생 때 친척집에서였다.어릴 때 봤을 때는 잭과 도슨이 어떤 밀실로 들어가서수중기가 가득차고 마지막에 로즈가 손바닥을 탁! 내리는데 그 장면이 무슨 장면인지...,10
을룡이(frid****),별 더 가지고 와~~~~~~~`,10
스킨틸라레(sctl****),내사랑 디카프리오,10
꼬르륵(sunt****),내 생애 최고의 영화...처음볼때 영화관에서 안본게 너무 아쉬웠어요 세시간이 전혀 지루하지 않고 몇번을 들어도 ost는 감동이에요ㅜㅜ잭과 로즈를 보면서 잭은 영원한 내 이상형!!! 앝으로 어떤 영화를 보던간에 타이타...,10
축졸업(qkst****),내가 평가할만한 영화가 아니다,10
개죽이(psgj****),인생 중 세시간은 의무적으로 이 영화에 투자해야한다,10
강해인(dign****),타이타닉 처음 보던때가 생각나네..새벽에 혼자 보는데 눈물이 주륵주륵 진짜 사람들이 왜 명작이라고하는지 알겠더라 진짜 안본사람들은 꼭봐야돼.. .타이타닉보고 일주일간 앓았음..여운진짜...전세계흥행 1위자리 꼭지키길...,10
zlxl****,"당신들이 무념으로 이 영화 평점을 마구 깎아놓아도 이 평점은 단지 수십개의 나라 중 한 나라의 수천만개 사이트 중 한 사이트의 것일 뿐, 이 영화는 전세계인들이 기억하는 최고의 영화일 것입니다.",10
천사시아(tnse****),진짜 최고의 명작이다.,10
anst****,카메론의 최고작은 아바타가 아닌 타이타닉.,10
엠비윈(best****),앞으로 어떤 영화도 따라 잡지 못할 절대불변의 최고 명작,10
굿모씨(dizi****),진짜 100점을 줘도 아깝지않음..여태 왜 이걸 안보고있었을까..저렇게 잭과 로즈처럼 운명적인 사랑을 만날수있었으면..,10
꿍아(swh1****),가장 기억에 남는 건 배가 떨어질 때도 악사들이 계속 연주하던 것...,8
피아(ling****),초딩 땐 슬픈 건지도 몰랐는데.. 대학생 되고 보니 눈에 눈물이 고이더라..,10
박태희(yons****),타이타닉이란 영화를 볼수있다는 것이 정말 감사하다,10
천옌시(vic4****),"최고의 감독이 선사하는 최고의 각본과 연출 아름다운 여주인공 케이트 윈슬렛, 그녀보다 아름다운 미모를 가진 레오나르도 디카프리오의 연기력 정말 완벽한 다시는 없을 최고의 로맨스 영화.",10
BRENDAN(hanm****),영화역사상 최고의 명작,10
s980****,잭과 로즈의 로맨스도 좋았지만 사람들이 뛰어들고 매달리는걸 보면서 진짜 마음 아팠어요 특히 아기랑 죽은 아빠 시신...ㅠㅠ 보고 울음..,10
zinn****,10점 만점의 10점.이게 왜 10점이 아니지?10점도 부족하다,10
백지혜(zach****),세대를 뛰어넘는 세기의 명작,10
쯔롱이(jywo****),"짧지만 강렬한 사랑 후, 잭없이 혼자 긴 여생을 보낸 로즈의 인생은 어땠을까? 생명과 영혼을 구해 준 잭을 사진하나 없이 추억에서만 간직한 그 마음 ....상상도 못하겠다",10
112233a(gusn****),기자 평론가 평점이 10인 영화가 또 있으리,10
karlie(olga****),최고,10
moon(dase****),다섯번 넘게봤는데도 볼때마다 날울리는 영화,10
lsan****,잭과 로즈 그런사랑 최소한그런 열정을느끼고싶다,10
돌직구(cho8****),일베망해라 이세키들아 평생살면서 한번 볼까말까한 최고의영화에감히..,10
tpgn****,세월호떄매또보게되네 명작슬프다 세월호사람들구출됬으면좋겠다 진심으로,10
