user_id,review,score
조(choe****),우리가 누리고 있는 자유와 평화가 공짜가 아니라는 사실을 잊지 말아야 합니다,10
org1569(choi****),"중학교때 처음보고 제일 많이 울었던 영화다. 9년이 지나고 대학을 졸업한 지금, 갑자기 생각나서 다시 보게되었는데 눈물이 쉴틈없이 계속 흘러나왔다. 전쟁용사들에게 머리숙여 애도를 표한다. 대한민국의 최고의 영화이며 ...",10
폐인(rlag****),우리나라 영화 top5,10
옹(pcs9****),말이필요없는 대작이다......,10
sung723(tjdg****),감동의 대작 ㅠㅠ,10
돌아이(jhcc****),언제봐도 최고 요즘 천만관객 영화보다 훨씬 뛰어나다,10
iag1t1(isk0****),한국전쟁영화중에이만한영화는없다,10
sohy****,"주인공은 총을 맞지 않는다는 불변의 법칙에도 빠져들수밖에 없는 전개, 연기력..마지막에 고 장민호 선생님 오열하시는 부분.. 눈물이 그냥 막 흐름ㅠㅠ",10
눈알빔(ladi****),이 영화 지금나왔으면 2000만관객 가능했을텐데...,10
Kirrard(s2_k****),어렸을적 너무 무서워서 제대로 못 봤던 기억이 있는데 현충일을 맞아 봤는데 정말.. 별 10개도 모자라다.. 두고두고 간직해야할 영화. 아.. 진짜... 정말 감동적이다..,10
rlaw****,제가 왜 이제서야 이걸봤는지 후회됩니다..정말 말이필요없네요,10
yrss****,봐도 봐도 명작이 맞다는 것을 느낀다.,10
핑핑E(wlfr****),이영화를 영화관에서 봤을때의 당시 난 그순간을 잊지못한다. 내가있었던 영화관 사람들 모두가 영화가 끝났는데 단한명도 나가지않고 끝까지 ost를 들으며 여운에 잠기고 흐르는 눈물을 훔쳣다 이영화는 내가 죽을때까지 기억...,10
TAEkyeoNG(star****),"명작입니다....짠한 형제애, 가족애 그리고 우리의 분단의 역사 모두 잘 전달되었습니다. 이 영화 잊지 못할 겁니다.",10
Dacsa(dhwk****),무엇보다 bgm이 슬픔 갑류임,10
리아트레스(bkcl****),매년 6월이 다가오면 슬퍼집니다. 할아버지. 이제야 편히 눈을 감으셨네요... 그곳에서 외할아버지와 못다한 이야기 많이 나누세요. 10년이 되어가는데도 이 영화보면서 아직도 우네요. 사랑해요.,10
qkqh****,"처음 하나였던 한민족을 진태와 진석으로 비유한 것이 아닌가 싶다. 이땅에 독립을 가져온 독립 운동가분들의 희생을 헛되이하지 않기 위해서라도, 분단의 아픔과 휴전의 고통을 후대에 물려주지 않기 위해서라도 남과 북이 하...",10
