user_id,review,score
나성권(line****),뻔한 스토리로 뻔하지 않은 영화를 만들었다,9
독일공주(pji7****),우리나라최고의괴수영화,10
ked9****,좀 똑똑한 사람들은 이 영화를 보고 눈치챘을거다...이건 단순오락영화가 아닌 우리민족에대한얘기이고 대한민국현실에 대한 영화라고...세뇌당한 사람들이야 걍 오락영화로 보겠지만...현시대 누가 괴물인지를 제대로 보여주는...,10
양가(o_oa****),맙소샄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ괴물voice가 오달수?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9
tang****,사회적 풍자와 중간중간 코미디적 요소 그리고 가족의 비극에 대한 아픔 등 최고 수준의 즐거움을 제공하다. 괴수영화에서 느끼는 공포감과 스릴을 최대로 맛보다.,8
karl****,이건 괴물영화가 아닌 가족영화,9
힘힘힘(chlr****),마지막 괴물죽일때 정말 명장면,10
우훌루후후(dngk****),괴물을 무찌른 건 군인도 경찰도 소방관도 아닌 소시민이었다.,8
김 검지(kswa****),뭐가 진짜 괴물이지???????? 생각해 보게 되는 영화,9
짧굵hero(goko****),이영화는 '괴물'이 소재가아니다. '한국'이 소재이다. 우리는 배우의 대사 하나하나를 곱씹어 들어야한다. 우리에게 하고있는 중요한 메세지이다.,9
핑구(jr87****),"내가 10점 만점 주고픈 몇안되는 한국영화.. 말도 안되는 조폭 코메디, 수준이하의 소리로 놀래키는 일본식 공포, 얼굴 번지르한 미소년 연예인 팔아먹는 그런 영화, 불륜, 재벌2새 가난여 러브스토리가 아닌 정말 10...",10
diffrent(skis****),정말 한국이 어떤 나라인지 세상에서 가장 잘 아는 감독.,10
재월(wony****),향후 10년간 이걸 뛰어넘는 블록버스터는 한국에서 안나올거라 생각했다. 물론 아직까지도 안깨지고 있다.,9
히드라리스크(dhrl****),과대평가가 아니라 과소평가되는 영화,10
단풍(yung****),"괴물은 피상일 뿐, 속에는 날카로운 풍자를 담고 있다.",9
구운양파(idea****),아무도 내 말을 안 들어줘..현서야 미안해..세월호 가족들의 울부짖음과 정확히 겹친다,10
tlsr****,어떻게 이야기를 탄탄히 만들 수 있을까.. 브럽다,9
Jesture(kimj****),다시보는데 이렇게 재미있는 영화일줄이야,9
샤가르(cact****),"세월호와 판박이네요. 정부의 민간업체 현실, 쓰잘데 없는 받아쓰기 언론, 피해가족에 대한 대우, 잘못된 정보, 각 기관들의 현 대처들... 모든건 시나리오대로...?",10
종은(tere****),괴물을 근 10년만에 다시 보았습니다. 한 달 전 일어난 세월호 사고를 10년 전 만들어진 이 영화가 너무도 적나라하게 비난하고 있습니다.,10
뿅뿅(shou****),미래의 거울일줄은 상상도 못했다. 한국을 그대로 보여준 대단한 작품이지만 그래서 슬프다....,10
비매너유저(beme****),안보사람이 있다면 꼭 봐라! 그러면 왜 별점10점을 주는지 알 것이다.,10
닌온노(godg****),봉준호는 이쯤되면 거의 예언가 수준...어쩜이리 세월호와 똑같을까.. 너무 똑같아서 세월호 이후에 개봉했어도 대단하다고 할듯하다.하지만 2006년작인만큼 더 높이 평가 될 만하다.나중에는 진짜  설국열차처럼 세상이 ...,10
Junbees(shes****),오버 투성이 블록버스터와 달리 현실성있는 인물들과 사건들이 역시 봉준호란 생각을 갖게한다. 바로 그 점이 싫은 사람들도 있겠지만.,10
레골라스(gnla****),요번같은 사태에 유달리 생각나는 영화입니다. 어떻게 영화속 전개와 현사태가 이리 유사할수가 있을까요??,10
TRH(xyz2****),"그래픽이건 뭐건 내용만 보고 깔 생각말고, 이 영화의 메시지를 보아라. 이 영화는 한국의 환경과 정부, 미국 등을 어마어마한 범위를 풍자한 영화니깐. 자칫 오락영화로 착각할수도 있으니깐 다시한번 보길 추천한다.",10
난쏠로(dide****),한국최고의영화랄까?,10
안경닦기현(kkhu****),괴물 엄청 오랜 만에 보니까 그냥 괴수 영화가 아니네.!,10
이쁜이(ssje****),괴물나온다 해서 웃길줄 알았는데 하나도 안 웃겼던 영화. 지금생각해보면 이만한 영화가 없었던것 같다.,9
별(chen****),인간이 얼마나 잔인한지 알려주는 내용이었다...... 자기가 만들어놓고 자기가 죽이고...,7
스타버프(star****),세월호 사건 이후 영화 괴물이 다시 보인다...,9
뭘로하지(evil****),처음 극장에서 볼땐 이정도로 완벽한지 몰랐는데... 정말 최고의 영화였구나.. 대한민국의 진짜 괴물은 과연 누구인가.,10
상상플러스(lone****),잔뜩 올려놓은 기대를 저버리지 않았던 유일한 영화,10
dols****,이야....오랜만에 왔더니 괴물 평점이 왜이리 깍였누????? 이 영화가 풍자영화라는 것도 모르고 평점깎는 OO 모지리들이 있네... 괴물을 소재로 이렇게나 통렬하게 (반미)주제의식을 관통하는 영화는 앞으로도 쉽게 ...,10
syog****,2006년 여름의 영화,10
헤어테일(kimr****),"우리나라 최고의 괴수영화. 7광구, 디워는 명함도 못내민다.",10
상쾌한오후(jbsp****),이건 한국이다. 이건 세월호다. 이것이 우리의 사회다.,10
기브미(ych5****),단순히 괴물에 맞서는게 아니라 현대사회적 풍자로 인한 비극 슬픔을 잘 조화롭게 하여 대단한 작품을 만든...,10
후까시(east****),한국 영화 최초의 괴물 영화새로운 시도에 박수를,8
TdCC fOB(5677****),세월호 때문에 부각되보이는지는 모르겠지만 저들도 유가족이고 정부는 같은실수를 반복했다.,10
찬익대리(helh****),예전 이 영화 보고 나오면서 진짜 대한민국에 저런 일 생기면 그럴거 같아 했는데 2014년 4월 진도 앞바다에서 또다른 괴물이 재개봉 할줄이야TT,10
감자(ga_m****),"송강호가 ""현서야 미안해""라며 수술대 위에서 우는 장면에서 뭐 이런 나라가 다 있냐며 나도 울었다 적당한 개그와 사회풍자가 진득히 묻어나온 영화. 초등학생이었던 내가 중학생이 되었지만 아직도 이 영화는 멋지다. 그게...",10
멜론(bane****),어쩌면 이렇게 현실하고 맞는것이 많은지...정말 소름 끼칠 정도네...사회문제의 소재들을 이렇게 풀어내다니 봉준호는 정말 천재인듯,10
세호짱쓰(gim9****),이게 지존이였지. 2006년 당시에 초등학생이였는데 이거 안봤으면 간첩취급 당했을 정도로 인기였었지.,10
헐(uiop****),오랜만에 보니깐 더 슬프고 참혹한영화..단순한 괴수영화가아니다  세월호 사건이 떠오르지 않을수없고 그냥 지금한국과 매우흡사한 엄창나게 리얼리티한영화..,10
홍기(ddsh****),어렸을때 이걸 본적 있는데 얼마나 무섭던지 밤에 잠이안오더만ㅋㅋㅋ,9
또로로(bdb9****),괴수라는 소재를 이용하여 한국이 내적으로 외적으로 처한 현실을 적나라게 고발한 발칙한 영화. 중학생 시절에는 이해하지 못했던 부분을 대학생이 되어 다시보니 어느새 공감까지 하고있는 나를 보며 나 자신이 얼마나 탁해졌...,10
호야(dddo****),세월호 사건이 얼마나 답답한일인지 적나라하게 OO전 영화가 보여주네,10
나가노 메이(ldy2****),헤드폰녀는 잘 지내고 있겠지?,7
탁정헌(ckff****),나도 내 이영화를 촏잉때 봤는데 지금보니 우리나라의 진짜 ㅈ같은 현실이 보임,10
최기원(rldn****),진짜 잘 만들었다.  완전 최고!!!!!,10
치민(yesy****),어렸을 때 봤을 때는 그냥 괴물 영화라고 생각했는데 커서 보니 한국 그 자체다 심지어 영화를 처음 보고 12년이 지난 지금도 이 영화가 그리는 한국과 다를 것이 없다 소름끼치는 영화와 통찰력,10
O(cjsc****),12년만에 알았다.괴물이 그 괴물이 아니라는것을..,10
IrisRossiibaker(aqsd****),"어울리지 못한 여러 소재를 잘 융합했다고 생각 합니다, 가족애를 느낄 수 있는 괴수 영화...",9
wjdals(kjm1****),또 다시 태어난 봉준호와 송강호 박해일 변희봉. 살인의 추억이 떠오른다,9
dlal****,여테 봐온 영화중 탑 쓰리에 드는영화,10
wntm****,볼때마다 소름끼친다 배우들 연기.,10
RJJ(jun9****),단순한 괴물 영화로도 볼만하지만 그 속에 담겨진 풍자를 눈치챈 순간 이 영화의 진면목을 봤다고 할 수 있다.,10
이승연(lcy2****),지금 한국의현실 봉준호는8년을 앞서갔다,10
Tukjugaria(holi****),현실과 소름끼치도록 닮았다는 사실에 다시한번 소름끼치는 영화,10
해동(shae****),한국스러움이 터져나오는 영화,10
김재헌(love****),"황금종려상 기념으로 다시봤는데 괴물 보이스 - 오달수, 다리 밑 거지 - 윤제문, 한강씬에서 엑스트라로 라미란 까지... 10년 젊은 송강호, 박해일, 배두나, 고아성. 캬... 어색한 CG빼고 빼어난 한국형 괴물영...",9
두비jin(twoj****),지금은 2019년인데 사회는 왜 13년전과 똑같을까,9
감귤동생(mega****),"괴물은 수단이다. 가족의 정을 나타내는, 그러나 살아있다.",10
축구광아(fowe****),이 사회의 누가 진짜 괴물인지를 보여준 영화. 그리고 그 괴물은 누구에게서 만들어졌는가에 대한 해답을 찾으려 하고 있다. 이 영화의 에필로그를 기억하라.,10
덕구(jwd4****),OST가 이정도로 잘 어울리는 영화가 있을까,10
G폭풍전도G(game****),이게 ㄹㅇ 한국영화의 중점이다 이때까지 아무도 한국영화중 이작품을 넘은 명작을 못봣다,10
캐릭터바이러스(jbra****),2006년에 나올만한 영화가 아니다...,8
이혜미(col5****),어렸을때 봤던 그 영화가 아닌 것 같다고 느껴질 때,10
공수니(sb00****),"누가 진짜 괴물일까 라는 의문을 품게 된 영화 ,,",10
관종정현호(hw50****),볼수록 새로운 영화다 볼때마다 다른 장르로 해석해서 볼 수 있다.,9
제제(hid5****),어릴땐 괴물영환줄 알았는데 커서보니 풍자영화 다시보니 더 재미있었다,10
전립선브레이커(ggyo****),2006년작임에도 그때 당시나 지금이나 별반 다를것 없는 사회상을 그려냈다는게 좀 씁쓸했다. 10년이 넘었음에도 대한민국은 변한게 없었다.,10
갓전설입니다(hong****),물괴의 반대가 괴물인만큼 재미도 반대구먼...,10
ZLDRKT(dksd****),나 초2때 나온거 지금 다시보니 괜히 호평하는게 아니네,10
유저이슈(djat****),유치하지 않은 괴수영화,10
wkqd****,10년만에 다시봐도 최고..,10
강아지(kcd1****),이 영화 진짜 어릴때 봤는데 아직도 기억이 생생할 정도로 여운이 깊은 영화 ..,10
yy(dbsd****),괴물은 지금봐도 참 수작이다. 봉준호 감독님 특유의 칙칙하면서 아늑한 분위기가 좋다.,10
윤여원(murs****),그냥. 한국 그자체.개인적으로 변희봉 배우님의 대사는 하나같이 다 주옥같음..,10
아톰(chya****),중학교때 이거 완전 인기였다. 근데 그때 못보고 서른넘어서 이걸 보게되었다... 봉준호감독은 미쳤다 이건 현실이잖아... 최고다,10
cook****,단순히 할리우드 블록버스터에 나오는 괴물영화처럼 이 영화를 본다면 정말 큰 잘못이다. 영화 괴물은 엄연히 한국사회를 비판한 영화다. 미국과 미국에 쩔쩔매는 한국에 의해 괴물이 만들어졌고 거기에 희생당하는 시민들의 모...,10
LALA1018(eric****),‘괴물’이라는 가면을 쓰고 우리들 앞에 나타난 ‘대한민국’이라는 영화!,9
별명없음(keii****),봉준호의 월드클라스 명작,10
영고노시(sall****),깨닫는 순간 더이상 괴물은 무섭지 않다,10
허호호호호(zzzz****),30번 넘게 봤다..ㅜ,10
박종범(alcx****),이건 괴수 영화가 아니다 정말 한국의 실태를 잘표현했다,10
프리가(aarr****),초등학생 때 영화관에서 봤을 때는 그냥 괴물이 무섭다고만 생각했는데 크고 나서 본 괴물은 무서움 뿐만이 아니라 많은 것을 생각하게 해주는  영화.,10
빅뱅꽃길(anns****),괴수영화중에 이거말고 기억남는게있나요,10
rokh****,한국영화역사상 최고의 괴수영화죠.,10
ddal****,내 인생 영화아직도 제목만 들어도 가슴이 떨린다,10
재연(ushj****),한국 최초의 괴수영화가 전세계 모든 괴수영화의 획일화된 클리셰들을 단 20분만에 보란듯이 깨면서 시작한다. 이것 하나만으로도 이미 그 가치를 증명한 영화.,9
음밥해(ooll****),와 진짜 다시봐도 ....,10
딸기언니(haku****),이런 한국영화 언제 또 나오나요.. 명작,10
무크로상(sea0****),괴물은 사회의 무책임과 무대책.,8
유렐(jems****),어째 지금까지도 괴물의 반조차 못 따라잡냐 한국 괴수 영화들은...,10
zkfm****,봉준호... 천재감독. 대사 하나하나 배우들 연기며 디테일한 연출. 버릴게없다,10
한방인생로또(xbla****),상영당시 고3 그리고 오늘 서른의 술에 취한채 들어온 내가 무심결에 돌리던 티비에 이 영화가 나왔다 그때의 고3 학창시절의 내가 느꼈던 무력함보다 사회생활 6년차 오늘의 나는 웬지 모를 더 큰 서러움에 십여년 전의 ...,10
정재(0824****),옛날에 제목만 듣고 너무 뻔했는데 지금 보니 가장 소름돋는 제목 중 하나이다. 봉준호가 말하고 싶었던 괴물이 누구인지 우리는 알기 때문이다.,9
암사공고생(gbak****),봉준호 갓준호 칸준호 킹준호,10
킬몽거(5526****),"괴물에만 초점을 맞춘게 아니라 인간에게도 초점을 맞춘, 웰메이드 영화.",10
lionheart(rlaq****),누가 진짜 괴물이냐??영화를 본 사람들은 알겠지,10
PIO(carl****),이 영화가 개봉했을때 봤던 기억이 5살인데.. 10년도 더 지난 지금 와서 봐도 하나의 촌스러움도 없음.. 지금 개봉해도 천만거뜬할 영화 극중에서 송강호아무도 내 말을 안 들어줘 할때 너무 마음이 아팠다,10
환치기소년(jade****),"우리를 지켜줄 줄로만 알았던 경찰, 119, 소방관, 군인 모두가 사실은 괴물이었을 때, 떨어지는 사람 하나하나를 깨우며 살리려던 아이가 이번에는 핸드폰 잘 터지는 사람이 떨어졌으면 좋겠다고 중얼거릴 때",10
슬(3yek****),10번넘게봣는데도 질리지않는영화,10
요다(qkdr****),분명 괴물영화를 보았는데 사람에 집중하게되는 영화. 누가 괴물인가.,8
에헤헤엑(rudx****),가족들과 함께봤던 영화 정말 감정이입해서 봤던 기억이 난다,10
Na1st(dltk****),봉준호 감독은 한국의 크리스토퍼 놀란이랄까...늘 기대 이상을 보여준다..,10
태지마음(kpu5****),괴물2 개봉은 도대체 언제쯤??,10
영원한 부산롯데(bee6****),어렸을 때 극장에서 봤던게 아직도 생생하게 기억난다. 단순히 괴수만 나오는 영화일뿐만 아니라 대한민국사회를 제대로 풍자한 최고의 괴수영화가 아닐까 싶다.,10
박진홍(mmok****),감독이 보여주려던 진정한 괴물은 한강의 기적만을 보고 달려온 우리 한국인들의 일그러진 자아상의 단면이였다,10
48차원(huji****),이것도 능력이라면 최고의 능력인거쥐,9
에이치짐HGYM(chri****),진짜 어렸을 적 최고의 공포영화,10
승모마리아(pool****),어렸을땐 그냥 괴수영화인줄 알았는데 지금보니 봉준호는 천재다..내가 보수성향이라 반미풍자가 들어간건 좀 불편하긴한데 걍 한국사회 자체를 풍자를 너무잘했다,8
JHBmom(undi****),잔인하지만 재미있다.,8
써리원(bask****),풍성하고 날카롭고 영리하다. 배우들이 맡은 캐릭터가 모두 살아있다. 10점 만점 한국영화,10
bjy4****,오랜만에 다시 봤는데  사회적 풍자를 재밌게 잘 푼 영화. 그 당시 영화를 만든 시기가 2006년도이고 다시 본 20OOO도와  사회 시스템? 같은것이 발전 한 것이 없고 그대로다고 느껴지는게  씁쓸할 따름...,8
윌(jmki****),"고질라,킹기도라같이 강한건아니라지만 진짜 괴물이라는 소재가지고 잘만든영화. 내용도 현재의 부패한사회가 떠오를정도.",10
sara****,영화 아주 재밌네요!!,7
박정준(djjq****),한국 영화 의 굉장한 괴수영화,10
늑대(audf****),정말로 재밌게 봣던 영화.,10
sua2****,최고의 영화,10
망태(dygk****),기념비적인 영화,10
보라보라보라(dbzl****),2019년에봐도 손색없는 영화,10
MENTOR(take****),박평식이 8점을 줬다. 무조건 봐라는 뜻이다.,10
똥광신기(poll****),역시 믿고보는 송강호 연기,10
오예스(5874****),평점 낮게주는 애들 특:영화속의 사회비판 메세지는 생각못하고 단순히 괴물잡기밖에 관심없는 5살짜리 어린애 수준의 지능을 갖고있음,10
페르(moon****),이제 보니 또 다른 느낌.,10
이지연(idle****),예전에 봤을때는 과하다고 생각했는데...지금 현실을 과거에 보여준 것 같다,8
인간(tkek****),어디서 과감해야되고 어디서 줄여야하는지아는 한국식재난물의좋은예 요즘 재난물은그냥 관객수들일려고 스토리다망치고 영웅주의 오글거리는신파 잔뜩넣어서 몰입은커녕눈살찌푸리게만듬...,10
히라키안(hira****),아직도 한강을 보면 포름알데히드가 생각날 정도,10
산 후안(woos****),단연코 내 인생영화 top 10 안에 드는 영화,10
끼끼(ckdg****),성지순례 왔습니다. 이 만한 영화도 없네요,10
창문넘어79(ssoz****),당시에 참 센세이션한 작품이었다.,10
블랙말랑카우(khrk****),진짜 잘만든 괴수영화네요,10
낭창(rnrh****),내스타일에딱맞다10점,10
요아킴(soni****),이 시대의 괴물을 미세먼지라고 보면 정말 지금 상황이랑 비슷하게 들어맞는다,10
꼴페미는 사형이 답(phg0****),사회적 풍자와 중간중간 코미디적 요소 그리고 가족의 비극에 대한 아픔 등 최고 수준의 즐거움을 제공하다. 괴수영화에서 느끼는 공포감과 스릴을 최대로 맛봄오락영화에서 이정도면 10점받기 충분하다.,10
phc5****,13년이 지나고 보니까 하나도 안촌스럽구 더 재밌다 ㅎㅎ,10
신버블소리(wssj****),"맨 처음 이 영화 나올 당시 초5였는데 한번도 한국과 괴수라는 소재의 조합은 본 적이 없어서 ""아 괴물이란 제목이 괴수를 뜻하는게 아니라 사회에 반감을 든 가족이 괴물적인 형상인거구나""했는데 진짜 괴물...",10
eyebono(eyeb****),"[ S9 V8 D9 A9 ]　뻔한 스토리도 봉준호가 만들면 다르다. 괴물은 표면에 드러난 껍데기일뿐 ,그 안에 사회적 풍자와 가족애가 담겨 있다.",9
소공녀(spon****),무심한 인간들의 무지한 행동에 대한 경고를 잘그린 영화~~,10
대한민국 사랑해(rich****),재밌어요 가족애도 좋고,10
박 마리아(mari****),최고의 한국의 영화!!,10
thdud(ssy5****),굿 ㅋㅋㅋ 오늘봐도 굿ㅋㅋㅋ,10
화난(woal****),어릴땐 단순 괴물영화인줄 알았지만..,10
프사장님(ktgk****),할리우드 햄버거를 기대하면 안 된다. 뜨끈하고진한 봉준호표 설렁탕!,9
plenty(aa17****),이게 진짜 천만영화지ㅜㅜ 신과함께같은게 천만 찍는 지금 20OOO.. 12년 전이 더 재밌어야 살아남았다 평점 조작이 덜했거든..,10
와싯(king****),재밌게 봄! 언제든 재밌게 볼 수 있을 영화.,10
파마한민머리(y100****),진짜 봐도 봐도 몇번을 봐도 명화인듯,10
민지(tpst****),전엔 별생각없이 봤는데 나이먹고 다시 보니 넘 재밌고 스릴있고 많은 의미를 내포하고있는 영화인듯..박찬욱감독보단 봉준호! 설국열차도 다시볼랍니다,10
퐁실(oliv****),오랜만에 보니까 더 재밌네,10
카프(vkdn****),극장가서 봐서 다행이라고 생각한 영화..,10
gun(0107****),11년만에 다시 보았습니다. 2006년 영화라는 것이 믿기지 않네요.,10
윤진영(move****),"봉준호의 필모그래피에서 이 영화가 없다는건 상상이 안 된다. 그야말로 총체적인 걸작이다. 이후에 만들어질 해당 장르뿐만 아니라, 많은 젊은 영화 감독들에게 영향을 끼칠만한 영화다.",10
rlay****,"단순한 괴수영화가 아닌 사회적 풍자와 해학, 가족애를 동시에 보여주는 최고의 영화 10년전 영화라는 게 믿기지 않을 뿐",10
imil****,진짜 괴물들은 누구였을까?,10
아델(plzt****),천재 감독의대단한 영화,10
빛나는비(madp****),"지금 티비서 하는데, 박해일이 정부관계자한테 무슨일인지 상황설명 요구하는 장면.. 관계자는 티비를 켜면서 상황은 티비로 보라면서 채널찾는다ㅋㅋ 와 지금현실과 다를게 없다는게 소름돋음.",10
phs3****,봉준호 이제는 무섭기까지,9
없음(gw19****),평점 낮게준 글들 쭉봤는데 아무리 영화의 평가는 주관적이라지만저건 사회부적응자들이 아닌가 싶다.저정도면 모자란것같다. 자기가 무조건 옳지?,10
