user_id,review,score
좋은날(dead****),영화사인 한 획을 그은 영화,10
이지애(json****),스토리 전개 뻔할지도 몰라요 근데 좋음  스토리  전개 보단 나비 행성에서의 판타지 넘치는 일상이 날 설레게 해요,9
캄차크반도(ssys****),헐리우드가괜히 헐리우드가 아니다..,9
andr****,3D 아이맥스는 진정 최고였다.,10
Gemma Ward(kj45****),제임스 카메론 감독 영화는 다 명작인듯,10
백설아씨(smgl****),저는 아직까지도 이 영화보다 더 훌륭한영화는 없다고 생각합니다.  그냥 사람이라면 감탄할 영화.  대단하다,10
rush****,나비행성에서 살고싶을 정도로 매혹적이었던 신세계를 보았음,10
stco****,극장에서 제값 내고 안봤으면 개 똥같은 감상평 씨부리지 말길. 영화의 영역에 대한 이해도나 영화라는 매체에 대한 애정도 없이 그냥 집에서 다운 쳐받아서 본 인간들이 스토리가 어쩌네 저쩌네 CG는 봐줄만하네 마네 지껄...,10
마시쪄(rhtk****),이거랑 명량이랑 비교하는건;;; 무슨;; 장난하나;,10
쌍칼(seou****),"대체 스토리가 어떻다고 이형석,백승찬 기자는 스토리에 4점을 줬지?아 물론 참신한 이야기는 아니었지만 과연 4점받을 정도로 쓰레기 스토린가?진짜 납득이 안가네 ㄷㄷ",9
멀더요원(skil****),감동해서 잠이 안왔던 영화.,10
만능열쇠(jjwj****),"인간이 인간이길 포기하는 과정이 너무 자연스러워서 엔딩에서 소름끼쳤던 영화, 속편이 정말 기대된다....",10
sakusaku(bshz****),영화보는내내 진짜 스텝들이 생고생 개고생했겠다고 느꼈다.진짜 하나하나 얼마나 공을 들였던지..진짜 최고다 영화속 철학관도 연출도 스토리도 완벽에 가깝다.,10
골마루(park****),영상미 하나만으로 이 영화는 만점에 충분하다.,10
kimm****,솔직히 난 이 영화가 역대 영화사중에 최고라고 생각한다. 인터스텔라가 요즘 말이 많던데 그래도 아바타는 못 따라잡는다고 생각한다.,10
슈퍼소닉(supr****),4년 만에  이 정도 완성도의 영화를 만들어낸  것이 대단하다. 스토리라인을 심플하고 명확하게 하여 영상에 집중하게 한 것도 놀랍고 중간중간 세세한 부분까지 자연스럽게 처리한 것도 놀라웠다. 여러번 봐도 볼때마다 새...,10
SkaSi 레바(june****),초당 제작비 3000천만원이 아깝지 않네,10
준팔(scvj****),이영화를  1점주는 ㅅ ㄲ들응  도대체 몬가요,10
엘로이즈(kung****),7번째 보는 듯...봐도봐도 질리지 않음. 전형적 미국 블록버스터와 달리 이 영화는 화려한 미국인 영웅이 아닌 미국/인간의 비인간적인 모습을 그리는 외계인의 관점에서 본다는 신선한 아이디어,10
rort****,그냥 최고지... 잘나와도 6점인 평론가 평점이 9점가까이면 말다햇다...,10
치킨먹고싶다(whdm****),기자들도 평점 조작하나? ㅈ논리 내세우면서 저 둘 때문에 또 기자 9점대 실패했네 썋,10
lkjh****,명랑이 아바타를 넘었다는 말에 한번 들러봤는데 별점 그때 못준걸 지금 줌,10
song****,긴 상영시간임에도 계속 흥미진진하게 보게 된다: 아바타가 본 영화중 최고라고 생각한다.,10
좌좀종북멸공(pspa****),"아가들아 제임스카메론 또다른별명이 속편의 제왕이란다.에어리언2,터미네이터2. 아바타1은 전초전이란다. 조용히 그날을 기다리자.",10
TRH(xyz2****),"어렸을 때 극장에서본 추억이 생각난다. 정말 환상적인 경험이었고, 차후에 재개봉한다면 거리낌없이 예매할 것이다.",10
mone****,아바타 : 평점 10점 / 10점,10
YOYO(gorg****),최고.. 디자인전공하는 사람으로써 볼때마다 입이 딱벌어지는 CG에 박수를 보냅니다.. 아무리 돈받고 일하더라도 밤잠 못자면서 노가다했을 그 노고에.. 가히 만리장성쌓는 것에 비유하고 싶네요,10
toto****,정말 짧고 굵게 말하자면 이건 영화계의 엄청난 역사가 쓰여진 명작이이죠 정말 몇OO뒤에 개봉해도 전혀 손색이 없을듯,10
사나다(mrki****),"결국 5년이 지나서야 봤다. 누구에게나 쉽게 전달되는 메시지, 또 놀라운 스케일에  감탄하고간다.",8
M(jean****),3D로 보면 생동감 넘치는..,9
레드야시(heey****),"남들 영화관서 다 볼때~~ 애기 때문에 영화관서 못봤던나..남들 다 잘때 애기 재워놓고,혼자 거실서 보는데,와아~~~할말을 잃었음..어떻게 사람이 저런 상상을 다 할수있지?어떻게 상상한것을 저렇게 표현할 수 있지?잊...",10
kogo****,보는내내 소름끼치게 벅차오르는영화,10
짭잘한 설탕(lmk1****),정말 내 인생 최고의 영화인듯합니다.,10
qmff****,주인공이 인류의 배신자라는 중2병 걸린사람 꽤보인다 ㅋㅋㅋㅋ영화속 그 인류는 탐욕으로 인해 제노사이드 즉 대학살을 일으킨 히틀러같이 묘사되어잇는데 ㅋㅋ 너같으면 히틀러 or 선한 원시족 중에 택하라면 누굴 택할거지?...,10
준기(jung****),귀신이봐도 싼다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10
hwan****,.,10
성령(rudq****),와 진짜 명량보다 기자평론가 평점이 더좋아서 봤는데 말이 필요없다 4년이 지난 지금 처음 본 소감은 정말 믿을수 없다 만약 아바타가 더잘사는 지금 나왔더라면 2000만도 무리가 없을듯하다 너무 좋았다,10
yyuu****,대박입니다,10
파란팬더(suba****),09년 개봉에 지금 7년이 지났는데도 이 영화 만큼 IMAX 3D 효과가 뛰어난 영화는 없었던 듯. 당시 영화관에서 와 내가 살다보니 별의 별 호사를 다 누리는구나.. 하면서 감탄했던 것이 아직도 기억 남.,10
P곤p곤(0317****),누가 명량이 아바타를 넘어섰다는 말도 안되는 개소리를 했을까?,10
레니토이(534k****),뭐라고 표현해야 할까? 음.. 말이 필요 없는 영화,10
raister(tlsg****),평론가 평점이 이렇게 높은 영화는 처음본다.그 때 못본 게 한이지만 기회가 되면 다운받아 봐야겠다.,10
cnct****,진정한 3D 영화의 시작.,10
사우론(sahy****),인간으로 살면서 죽기전에 보아야 할  최고의 작품이다. 괜히 세계 흥행 1위가 아니다.,10
salt****,ㅋㅋㅋㅋㅋㅋㅋㅋ,10
장수지(aofh****),다시보고싶네요,10
졍(youn****),영상미가 정말 갑이었지,10
jhjd(jhjh****),내가 제일 재밌게 본 영화인 것 같다                               근데 어떻게 명량이 아바타를 제쳤는지 이해가 안된다 내 주위 사람들이 명량 개노잼이라고 하던데,10
이지은(lje9****),평점 조작하려는 쓰레기들 때문에 남깁니다. 영화는 최고에요 17년도에봐도 좋아요,10
티라노(jyna****),명작 대작 그 자체다 . 감동.,10
ckwk****,내 삶의 최고의 영화 베스트3중에 단연1위다 지금도 USB에 넣어다니며 가끔씩 보고있는 영화이다 아바타를 보지않았다면 꼭 보길바란다 소름을 처음부터 끝까지 느낄수있다,10
hagi****,나비족의 하악질이 매력적,10
