user_id,review,score
월령공주(glor****),"평식이, 시답잖게 쎈척은 ...ㅉㅉ",10
구일중(slrh****),나 평식이 옆에 앉아서 영화봣는데 평식아 소리좀 그만질러라...남자색히가 ㅉㅉ,10
이보람(dlqh****),평식이가누구에요...,10
짱구방구뀐다(kgh1****),'시답잖게 겁주기는' 이런게 영호평론가의 멘트면 아무나 평론가 할 수 있는거 아님??,8
쿠앤크(zhfl****),평식이 오줌 찌린 게 여기까지 흘렀다....당장 보러간다!!!,9
사쿼(appl****),평식이 기대안하고 봤는데 무서워서 자존심에 스크래치 나서 별점 낮게준거 뻔히 보인다,10
PixPLAY(misy****),평식이 바지에 지렸는갑다 ㅋㅋㅋㅋ,10
ysy8****,"관람객


														
															
															
																와우 수녀귀신 너무 무서윘어요",8
ckj(pck9****),수녀복이 이렇게 무서울 수 있다는게 신기함.,10
JYK(mrbr****),"관람객


														
															
															
																수녀 그림 여자친구한테 카톡 보냈더니 답이 3시간째 없습니다.. 하",10
곽자유(hann****),"관람객


														
															
															
																정말 역대급 호러물. 컨저링1보다 훨씬더 무섭고 훨씬더 재미있었음. 두시간반이 순식간에 지나갔다",10
ACCENT(jjd8****),감독이 어떻게 공포영화 잘 찍으려고 연출에 노력한게  보이는데 그걸 시덥잖게 라는 한마디 던지는 평식이 클라스,10
김도빈(dobi****),인시디어스3 보다가 팝콘 쏟았었는데 이번에도 컨저링2 보다가 팝콘 다 쏟았는데 뒤에서도 쏟아줘서 부족함 없이 먹고 나왔습니다.,10
피스타치오(gats****),"관람객


														
															
															
																컨저링1은 이길 수 없겠지 했는데더 무서웠음",10
다호선(qwq1****),밤 에 절대로. 혼자보지마세요,9
세후49억(yoon****),평식이 시덥잖은 3점 보소 ㅋㅌㅌ 너 쫄았구나?,10
228c****,컨저링1부터 2까지 실제로 당한 사람들은 얼마나 무서웠을까요. 예고편만 봐도 소름이 쫙 돋는데...,9
죽일놈3명(zxcv****),개연성 하나도 없는 곡성에 8점 가까이 주더니 아주 쇼를 한다. 박00... 결국 평론가도 개인취향인 부류들.. 세상에 평론가처럼 쓸데 없는 직업이 또 없다.,8
REZNOR(stgh****),"관람객


														
															
															
																약간 인시디어스랑 비슷한 느낌.",8
아즈냥(dmsw****),평식이같은 사람이 우리나라 영화평론가라니 우리나라는 한참 멀었다..,10
dmsw****,"관람객


														
															
															
																최고다 처음부터끝까지",10
푸른솔(ifor****),"전작보다 묵직한 가족간, 부부간의 심리 사랑을 강조하는 꽤 완숙한 공포영화다.  촬영/디렉팅이 전작보다 뛰어나 보고나서 매우면서도 맞있는 음식을 먹은 느낌. 크레딧 때의 실제 풋디지는 소름.  한 평론가의 숫자는 개...",9
with(turb****),"관람객


														
															
															
																이번 여름 공포영화는 이걸로 끝",10
love  love  love(cc14****),네 평론가  평점  저정도면 공포영화에선 높은것이다  에나벨  3점 이었죠  영화는 아직안봤네요,10
수달이(dhfd****),교훈:부인말을 잘 듣자,10
ritr****,그렇게 에드는 보상을 받을 수 있었다.,9
몇년만의복귀(dami****),조조 봤는데 무섭게 잘 만들었다. 그 그림 이용한 씬은 진짜 아이디어 대박이네,8
네루(toda****),"관람객


														
															
															
																꽁포영화 매니아로써 오랜만에 슬슬 쪼여오는 긴장감을 느껴서 좋았다 ㅎㅎ",8
사탕유령(tmdv****),"관람객


														
															
															
																영화보는 순간 또 뭔가 터져 나올지 긴장돼고 춥고.멍한느낌이였다ㅎ",10
혹사계의 샛별 류중일(cool****),공포영화 장르 특성상 7점도 괜찮아. 젬스완 감독작품 좋아하는 사람은 당연히 봐줘야지 ㅋ,7
OohOoh(hell****),분명2d로봤는데 4d로 본기분.,9
jdh2****,전편보다 더 무서운 영화 자넷의 연기가 소름끼침,9
디홀스(dhor****),"관람객


														
															
															
																적당히 무섭고 시원한..",7
JohnTitor(paul****),내가 장담한다 올해 최고의 공포영화다.,10
은비(8855****),1도보고 2도보고왔는데 전 2가 훨씬 더 재밌었어요 ㅋㅋ 무서운장면도 더 많고 뭣보다 그 음향?흘러나오는 배경음악 같은게 너무 무서웠어요ㅠㅠ 아 그 수녀귀신은 진짜.. 비주얼 짱이였다는.. 개무서웠어요,10
감자(miro****),관객을 몰입시키는 기술이 훌륭하다 어느 부분에서 나올지 예측해도 깜놀한다,10
한혜정(gksg****),"관람객


														
															
															
																와 진짜 인시디어스랑 컨저링 시리즈는 짱인듯",10
좋아요(ash2****),"관람객


														
															
															
																반전의 반전! 정말 오랜만에 재밌는 무서운영화 봤네요 굿굿",9
kuhe****,컨저링 시리즈론 분명한 업그레이드가 있었습니다.,9
으르(tots****),10점부터 주고  보는영화 ㅇㅈ?? 우리나라 공포영화랑은 차원이 틀리다 우리나라 공포영화는 재미없고 사람 우울하게만 만듬,10
ke74****,남자 넷이서 손잡고한명은 소리지르고소방차가 이렇게 무서운지몰랏다.꼬부랑 할아버지... 올 여름 최고 공포영화,10
안녕(yoyo****),와 보다가지렸다 레알 ㄷㄷ,10
pswj****,"관람객


														
															
															
																너무 무섭고도 너무 재밌었습니다 ㅎㅎ",10
yddy(dian****),"관람객


														
															
															
																공포영화볼 때 놀란적 한번도 없는데 처음으로 놀랐다.",8
심장과약지(vkuv****),평식이 기저귀차고 들어가서 보는거 봤어요.,10
sw2182(ggob****),전철타서 녹음기 트는 씬부터 긴장감 극대화ㅋㅋ,10
Uranus(teno****),솔직히 지렸다..1편은 끝에 엑소시즘으로 넘어가며 조금 루즈한감이 있었는데 2편은 텐션이 떨어지질 않음..ㄷㄷ;;,10
초코하임(nelm****),평식이 오줌 지린 영화관에서 한번 더 보고 싶다.,10
김태호(bigh****),"관람객


														
															
															
																아버지의 자리. 영화에서 패트릭 윌슨이 기타를 연주하면서 ""Can`t Help Falling In Love""를 부르는 장면이 왜 이렇게 멋있게 보였는지...!! 되게 멋있었음 이장면",9
이승원(chel****),"관람객


														
															
															
																올 여름 공포영화를 본다면 꼭 봐야하는 작품.. 소름",10
민능짱(inga****),워렌부부는 여전히 멋있다,10
Goliath(soul****),"관람객


														
															
															
																적어도 돈아깝진않음. 재밌는 영화셈",8
석(saha****),"관람객


														
															
															
																1보다 훨씬 무섭고 ㅠㅠㅜ남잔디 소리지른적 처음;;스토리도 괜찮은데 액소시즘이 약간 너무 과장되는거같은 ㅠㅠ좀더 악령힘이쎗음좋겟ㅇ",9
들개(what****),"관람객


														
															
															
																완전 쩐다 이거 혼자가서보고왓는데 재미잇네요",10
비공개(qkfo****),"관람객


														
															
															
																만족 정말  중간중간 소름 ㅋ",10
넥센김하성(tenn****),2부는 1부보다 재미없다고 생각해서 안 보면 후회합니다.. 공포영화보고 여운남기는 처음입니다,10
산뜻할나(styn****),이 영화에 이명박 나온다,10
광아(jhk8****),평식아~ 가오 잡지마 역겨우니가~ㅋㅋㅋ,10
송미정(alwj****),"관람객


														
															
															
																수녀악령도 꼬부랑할아버지귀신도 1편못지않게 너무 무섭....",10
aa30****,"관람객


														
															
															
																무서운거진짜못봐서...귀막고 눈감아서 아무것도모르겠다만ㅋ재미있었던것같다. 마지막 물리칠때 짱.  나도모르게눙물이...^^;",10
dkwb****,"관람객


														
															
															
																영화의 내용따위는 중허지 않았다.시험기간에 영화볼 약속을 잡고 영화관까지 걸어가며 영화를 보고나서 집에가는길에 깔깔댈 수 있다는것.",10
대박(wkdt****),"관람객


														
															
															
																역시 제임스완이라는 말이 나옴 전편보다 더 재미있게 봤습니다.",10
hiph****,역시 제임스완 캬...,10
호삽(chun****),그 어떤 놀이기구보다도 스릴있고 재밌다..,10
명워니(keeo****),바지가 따뜻해지는 영화,10
jangeunbin(ta0_****),"관람객


														
															
															
																썸타는 분들끼리 가면 손 반드시 잡을 수 있는 영화",10
샴샴라(tlse****),"관람객




																		공포장르 팬으로서 좋은 영화라고 느꼈습니다. 특별히 아주 화려하거나 신박한 기법을 사용한것도 아니지만 전통적인 공포영화의 요소들을 효과적으로 사용해서 흥미로우면서 깜짝깜짝 놀라는 만족스런 공포영화를 만들었습니다. 벌...",10
asindindk(aw02****),"관람객


														
															
															
																정말 재미있게 본 영화 강추합니다",10
닥터이드(harr****),"관람객


														
															
															
																뻔한 스토린데 진짜 무서움",9
ㄷㅍㅁㅍㅇㅁㄴㄹㄴㅇ(rudd****),ㅜ쿠마브추자즈브낱츠,10
tkdt****,"관람객


														
															
															
																진짜 실제라 놀라고 그 수녀복???입은 귀신 사람 겁나 쫄리게 만드네 마지막에 실제 동영상에 소름",10
한동현(dpth****),"관람객


														
															
															
																근데 진짜 너무너무너무 무서움",10
샤샤샤(ecot****),영화평론가들 최소 5줄이상 평 쓰게 해라 기분 내키는대로 한 줄로 찍 갈기는 건 초딩도 한다ㅋㅋㅋ,10
최혁준(cfad****),"관람객


														
															
															
																애나벨때는 약간 실망했는데, 이번 작품은 굳굳!!!!강추!",10
나시고랭(aike****),평식이집에 수녀귀신 나왓으면 좋겠다,10
tnwlsdl(tnwk****),무서움ㅋㅋㅋㅋ와씹 나 영화보다가 중간에 나갈뻔 사운드때문에 공포감 조성함 혼자 말고 2명이상 가셈,10
fly5637(jmh5****),더위를싹날려줍니다 정말 재밌네요,10
노유진(dhfd****),"관람객


														
															
															
																진짜수녀귀신 너무무섭다. 컨저링 시리즈 중 무서운영화 집가기무섭다..",10
정은(jele****),역시 공포영화는 컨저링ㅎㅎ 배우들이 연기를 잘해서 더 몰입해서 봤다,10
qlwj****,"관람객


														
															
															
																시각,청각적 공포감을 느낄수 있었던 영화,,,왠만하면 공포영화 시덥지않게 본게 많은데요번 컨저링2는 내심장을 쫄깃하게 만든 설레는 영화",9
sjl5****,"관람객


														
															
															
																안보면 후회한다1010",10
끝까지간다(wolf****),정작 본인은 창작할 재능은 없으면서 까대기만 할 줄 아는 박평식이는 참 불쌍하다. 당신 같은 자가 제임스 완같은 천재를 폄하할 자격이 있는가!,7
ckzk****,스토리 허술한 공포영화가 많지만 이건 스토리도 좋고 공포감도 놓치지않는.. 역시 제임스완~,10
철근콘크리트(xell****),참나 네티즌들 설레발은 우주최강이네요.이런게 뭐가 무섭다고.오늘은 오랜만에 엄마랑 같이 자야겠어요.,9
삼일제약(saea****),네이버 영화는 왜 박평식씨를 안 짜르는거죠..? 객관적으로 평론가 자격 있나요? 거의 모든 영화에서 공감할 수 없는 평을 적으며    평점 테러를 하고 있는데요.  이 작품도 박평식님의 3점만 없었으면 평균 7점 후...,9
pby6****,ㅋㅋㅅㅂ후반에갑튀튀지리는거나오는데그거보고뒤에사람이나한테팝콘쏟음,10
파피루스(rami****),"관람객


														
															
															
																별로 기대안하고 갔다가 영화 끝나고 화장실에서 팬티 갈아입고 집에 갔어염..^^ 역시 가방에 팬티 하나씩은 더 챙기고 다녀야하는것 같아요..",10
읍뜸(ekdn****),"관람객


														
															
															
																생각보다무섭진않았어요 보다가오줌쌀뻔한거빼면ㅎㅎ",7
맥심(judi****),공포영화는 해피앤딩이지,10
스카웃(into****),"1편 보다 훨씬 무섭고 짜임새가 좋다는게 느껴집니다. 크진 않지만 반전이 있어 흥미로웠고, 믿음이 얼마나 중요한지 깨닫게 해주는? 점도 좋았구요. 1편이 번지점프라면 2편은 구성이 잘 짜여진 재밌는 롤러코스터라 할 ...",10
Sstty7193(sstt****),배우들 연기도 대박이고 사운드도 대박이고 수녀복도 대박이다.... 돈주고 다시보라면 볼 수 있는 영화라고 저는 말 할 수 있겠네요 개인적으로 1편보다 재밌었어요!!!너무 좋앙♡♡ 3편도 빨리 나와라,10
djkfjksk(dbdu****),"관람객


														
															
															
																내 기준에서는 하나도 안무서웠음... 발락 너무 쉽게 지옥으로 보냄..허무",6
cooc****,"관람객


														
															
															
																입막으면서봤다ㅡㅡ무섭다",10
마얌(gida****),잘봤는데 ㅋㅋㅋ 2프로의 코믹도 있네요. 마지막 장면도 진짜 스토리 괜찮았구요.,9
유느님(qupi****),"관람객


														
															
															
																잘봤습니다 더웠는데 시원했어요 영화관이",8
매니 파퀴아오(ldy2****),1편이나 2편이나 거기서 거기인듯~,6
얌(db15****),"관람객




																		1을봤기때문에 2를봤다 보는내내 후회함..무서운거 눈가리고안보면서..가슴에손얹고보다 쥐남..시선회피하고.. 항상 호기심에 이끌려 내손은 나도모르게 예매를 하곤하지..인간의욕심은 끝이없고 실수는 반복되지 후후후후슿샤워...",7
김정현(kkks****),내가 박평식 평론가 진짜 별점 신뢰하는 편인데  시덥잖게 겁주기는 이라고 3점 주는건 오바가 아닌가 싶다. 박평식 점수환산기에 대입해도 6점 정도는 무난하게 받을 정도인데,9
요강(kilr****),"관람객


														
															
															
																진짜 너무 공포영화 답게 무섭네요 영화도중 깜짝 놀래서 욕하고 난리났었음.. 진짜 이 시ㅂ 이럼서.. 절대 혼자 보지마세요. 심장이 쫄깃쫄깃해짐",10
dhwi(qosk****),"관람객


														
															
															
																무섭지만 재밋다 컨저링3도나왓으면좋겟디",10
xpel****,후반부 지렸다 ~~~~,10
쎈(good****),와..방금 보고 나왔는데 진짜 제임스완 감독 대단하단 생각만 드네요. 1을 넘 잼있게봐서 2는 살짝 덜 무서울수 있겠단생각도 들었지만 그래도 궁금해서 봤는데.. 진짜 넘넘 무서워요 ㅠㅠ 알바로 오인할까 9점줄까 고민...,10
5112****,정말 평점 안쓰는데...오늘 보고 감탄했어요 1편보다 더 무섭고이렇게 무서운 수녀는 처음... 3편 나왔으면,10
라렌티아(dizz****),팽팽한 긴장감이 처음부터 끝까지 이어져요. 컨저링1 재밌게 보셨던 분들이라면 이번편도 보면 후회 없을 듯ㅋㅋ,10
shho****,"관람객


														
															
															
																스릴 만점이고 스토리도좋네요  여름에보기좋을듯함",10
wnsd****,와진짜너무무서워 바지오줌쌋어여..하어카지 지금 찌릉내가점점올라오내요 진짜무서워요..,10
닉네임뭐할까영(khi1****),"관람객


														
															
															
																내가본 공포영화중 최고다..",10
괴도키드(kaid****),"누군가 박평식씨의 삶에 대해서 두마디의 짤막하고 비아냥 거리는  문장으로 평가절하 한다면 박평식 본인은 어떻게 느낄까? 이 영화는 수백명의 스탭과 투자자와 배우와 감독의 피와 땀이 녹아있는 작품인데, 적어도 평론가라...",10
ashi****,개인적으로 곡성하고도 매치가 안되는거 같은데... 시답잖게 겁준다?ㅋㅋ시답잖은 평론하기는.,10
JSP(mank****),호러영화 팬으로써 제임스완이 3편도 만들어줬으면 한다. 최근에 나온 호러영화중에 컨저링만큼 잘만든 영화가 없다.,10
파블로(yo_6****),"관람객


														
															
															
																액자에서 지렸다....",10
v077****,구라 안치고 수녀귀신 개무섭다...,10
GSX1300R(wkwk****),로레인 혼자 서재 들갔을때 수녀귀신 진심 개무서웠다,10
tlfk****,남친이 옆에서 소리 질러서 더 놀란 컨저링2,10
Cristiano Ronaldo(koni****),"호기심으로 한번은볼만한데, 두번보라면 못볼거같다 공포영화잘보는친구도 같이봤는데 쫄아서 귀신이언제나올지 타이밍알아도 놀라는 영화는 컨저링밖에없을거다.",10
무스탕(must****),개그물같은 애나벨을 보고난뒤라 컨저링2가 더 고맙게느껴진다..실화바탕이라 쓰잘데기없는 반전이 없는것도 그리웠어요 제임스완 복받아라진짜,8
나는야친구(skok****),"관람객


														
															
															
																내집이야 몇번하는건지",8
이선영(0196****),진짜  끝판왕이다.  공포영화의 끝.판.왕소리를 육성으로 몇번질렀는지 모르겠다와....장난아님,10
비타(kdym****),허접한 일본공포영화만 보다가 진짜를 본 기분,8
hwan****,알바끝나고 심심해서 심야 1시반꺼 혼자 보고 지금왔어요 진짜 돈아까워서 끝까지 다봤네요.. 돈만 아니었어도 진작에 뛰처나왔을텐데 지루해서가 아니라 무서워서 영화관 나오고싶었던건 또 첨이네요..,10
최진희(jinh****),"관람객


														
															
															
																진짜 지금까지 본 공포영화중에 제일 무서웠어요... 중간에 소름돋고 그만보고 나가고싶단 생각이 처음 들었어요 무서워서ㅜㅜ너무 무섭습니다",9
