,user_id,review,score
0,시민의적들(son2****),윌 스미스가 하드캐리하여 의도치 않게 원작을 뛰어넘은 실사영화,10
1,별이(konf****),영화가 너무 아름답다..ost도 잊혀지지 안고 디즈니 실사중에서 최고중에 최고다 쟈스민 너무 멋지고 팬 엄청나게 생길듯 웃다가 울다가 너무 좋았음,10
2,영원히고통받는롯데팬(ieie****),존잼임... 난 처음 도입부에 아~라~비안 나~잇 이 부분에서부터 감동받아서 울 뻔했음...,10
3,짱구(makj****),"관람객


														
															
															
																자스민의 speechless 명장면이고 덤으로 윌 스미스의 연기력 또한 매우 굿~~",10
4,야끼우동(snst****),A whole new world 나올때때 개소름...,10
5,박정훈(1020****),자스민 존나 이쁘다..,10
6,오혜영(rapc****),지니가 나오면.. 이세상 흥이 아니다ㅎ,10
7,아메리카노하나요(nami****),일요일 아침 8시 디즈니 만화동산 챙겨보고 비디오 알라딘 애니도 수십번 빌려봐서 테이프 늘어났었는데 ㅎㅎ클린액으로 비디오 헤드 청소해보신분 손!,10
8,jasline(jasl****),디즈니가 미쳤음.. 영화시장을 통재로 잡아먹으려고 작정을함..끝내주는 영화 이제껏 디즈니실사중 최고였음,10
9,xhdtjdfkdldhswm(roro****),제일 우려스러웠던 윌스미스가 하드캐리하는바람에 원작 뛰어넘어버림 ㅋㅋㅋ,10
10,tjdd****,2시간동안 동화에 들어갔다 나온 기분..  Ost는 정말 언제들어도 벅차고 감동스럽네요ㅠㅠ 디즈니 최고!!,10
11,Siwana(cine****),"관람객


														
															
															
																실사화를 이렇게 완벽히 할 수 있나 진짜 환상적이다",10
12,요통환자(ejsm****),자스민 공주가 자팡에게 격분하며 공주로서 위엄을 보일때 나오는 speechless 음악이 압권이었습니다. 이 때의 자스민 모습이란 이미 술탄이었죠. 영화제목을 자스민이라고 해도 될 정도로 나오미스캇이 너무나 반짝이고...,10
13,한다로(rund****),"관람객


														
															
															
																알라딘에게도 자스민에게도 왕자는 필요없어",10
14,sn73****,색감도 노래도 너무 화려하고 재밌었어요~ 실사 영화 비교하자면 제가 남자라서 그런지 미녀와야수보다 몇배는 더 재밌었습니다! 특히 프린스알리 나오는장면은 닭살돋을정도!! 지니 역할을 소화시킬수있을까 걱정했는데 윌스미스...,9
